Generation,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100,pop
0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,.05
1000,9750.57,9762.06,9736.15,9769.12,9741.46,9738.66,9745.13,9753.79,9746.69,9734.53,9730.87,9727.24,9742.91,9731.8,9761.05,9734.72,9746.28,9750.26,9747.12,9740.1,9748.72,9728.97,9751.23,9758.97,9740.72,9750.96,9728.82,9753.02,9751.86,9729.36,9756.62,9734.32,9726.85,9744.3,9748.94,9736.62,9760.2,9738.38,9754.0,9734.64,9760.41,9743.4,9750.44,9737.69,9751.12,9755.13,9732.05,9741.21,9752.43,9733.93,9726.07,9751.6,9753.79,9760.49,9730.28,9736.71,9758.24,9766.92,9761.09,9729.67,9745.39,9742.99,9750.14,9737.37,9727.75,9739.59,9734.87,9724.22,9745.43,9741.76,9743.79,9743.32,9754.45,9742.28,9738.52,9747.3,9757.81,9730.92,9748.98,9742.55,9750.98,9753.13,9769.0,9724.12,9764.84,9743.35,9747.23,9731.32,9757.66,9731.82,9753.56,9740.12,9748.2,9737.67,9747.17,9749.65,9753.26,9755.76,9723.7,9744.96,.05
2000,9527.3,9544.69,9515.42,9550.31,9519.4,9502.18,9530.98,9535.89,9549.02,9515.63,9503.7,9515.84,9520.69,9507.93,9537.56,9514.34,9529.66,9530.07,9526.94,9529.59,9513.17,9511.8,9521.18,9555.06,9517.21,9508.06,9512.99,9546.03,9526.33,9526.5,9545.95,9516.14,9513.78,9514.89,9528.65,9500.39,9548.21,9523.22,9549.88,9534.8,9546.46,9510.89,9522.16,9508.1,9513.14,9540.02,9482.42,9507.96,9537.63,9497.73,9508.19,9512.53,9552.71,9531.62,9499.25,9533.0,9536.62,9527.93,9534.09,9499.86,9518.06,9528.12,9532.92,9508.12,9486.6,9505.27,9532.09,9505.97,9515.18,9524.28,9508.05,9518.93,9517.79,9530.4,9523.62,9521.52,9525.22,9501.29,9546.6,9534.08,9543.6,9497.67,9541.77,9505.06,9559.79,9542.5,9545.44,9525.33,9541.62,9467.91,9522.92,9495.04,9547.31,9510.36,9529.08,9519.13,9541.35,9524.21,9492.07,9541.2,.05
3000,9306.16,9334.02,9310.44,9333.63,9282.54,9258.74,9298.5,9347.7,9301.68,9302.78,9295.07,9277.04,9301.49,9291.65,9318.71,9274.52,9279.31,9295.05,9314.02,9322.21,9283.81,9290.07,9308.1,9353.69,9296.92,9282.69,9305.04,9334.24,9317.71,9304.35,9330.82,9270.89,9288.16,9306.76,9329.99,9283.02,9337.7,9323.39,9354.21,9317.02,9331.62,9298.41,9308.57,9287.69,9312.72,9297.6,9266.25,9288.71,9322.93,9264.45,9297.74,9293.03,9333.43,9321.86,9291.98,9303.79,9310.17,9304.13,9308.09,9296.36,9312.98,9307.16,9337.68,9313.86,9246.56,9289.05,9330.73,9303.15,9310.39,9314.32,9288.22,9323.98,9295.58,9310.5,9297.36,9282.9,9289.16,9288.18,9346.04,9341.84,9316.46,9276.2,9312.23,9278.07,9330.74,9336.63,9320.48,9327.92,9328.2,9239.36,9294.31,9268.13,9302.48,9287.78,9313.56,9311.75,9310.03,9288.07,9279.51,9334.39,.05
4000,9076.61,9095.63,9093.43,9131.76,9062.06,9036.64,9089.79,9130.21,9077.03,9069.39,9082.42,9044.51,9076.14,9050.89,9095.63,9051.38,9061.12,9075.31,9107.13,9087.83,9080.19,9077.74,9072.18,9134.77,9081.72,9069.73,9109.52,9131.78,9111.39,9069.32,9119.68,9048.86,9067.71,9082.75,9134.56,9067.69,9140.81,9096.75,9145.82,9120.84,9123.25,9079.94,9086.94,9066.85,9087.45,9095.51,9054.69,9084.69,9098.12,9030.44,9072.88,9079.75,9112.2,9086.5,9059.3,9100.18,9107.86,9085.29,9079.32,9096.15,9100.41,9107.72,9125.98,9076.63,9034.16,9075.16,9124.82,9088.84,9095.28,9107.47,9065.67,9114.75,9054.94,9093.81,9076.28,9065.12,9082.1,9077.23,9123.87,9137.01,9082.93,9059.83,9081.68,9053.47,9097.57,9114.33,9081.06,9136.93,9117.53,9037.73,9061.58,9038.29,9087.98,9075.5,9089.56,9094.41,9105.83,9065.09,9043.0,9131.46,.05
5000,8883.07,8877.13,8861.0,8920.27,8843.15,8831.18,8867.01,8912.12,8864.07,8870.66,8848.18,8850.04,8875.88,8834.26,8871.88,8842.07,8831.07,8845.55,8891.53,8876.58,8848.9,8839.2,8863.74,8924.67,8880.43,8834.64,8833.53,8926.09,8873.41,8874.17,8890.67,8835.43,8846.23,8881.07,8926.94,8844.4,8930.85,8880.11,8928.08,8908.47,8908.06,8848.41,8874.41,8841.31,8878.28,8874.94,8850.09,8883.04,8875.98,8810.23,8825.38,8850.73,8897.17,8871.53,8861.59,8872.01,8881.82,8846.26,8852.31,8898.62,8890.08,8910.25,8900.22,8864.64,8794.99,8877.02,8910.7,8867.89,8876.85,8874.76,8832.25,8916.32,8845.8,8891.65,8842.82,8850.3,8851.36,8843.88,8910.02,8929.33,8868.15,8847.75,8865.39,8845.45,8888.26,8894.73,8849.8,8925.17,8898.69,8801.2,8845.29,8813.55,8883.48,8843.82,8865.06,8852.52,8901.24,8839.97,8825.08,8915.01,.05
6000,8678.25,8675.28,8639.98,8695.1,8608.01,8611.15,8652.24,8683.12,8673.54,8648.35,8621.03,8640.42,8654.74,8620.38,8652.54,8645.98,8619.01,8627.57,8667.56,8671.23,8642.18,8604.42,8649.47,8709.03,8661.76,8625.9,8619.14,8711.69,8648.14,8655.31,8683.07,8640.96,8627.77,8624.59,8708.6,8627.6,8720.41,8677.05,8707.62,8695.33,8708.75,8628.76,8669.74,8609.99,8645.29,8657.41,8634.07,8635.88,8648.87,8597.07,8592.87,8644.7,8667.3,8662.49,8642.37,8666.22,8651.09,8613.03,8622.59,8703.27,8659.1,8696.6,8675.56,8669.81,8587.99,8650.68,8713.85,8653.63,8655.01,8653.14,8606.32,8697.76,8602.29,8662.67,8619.75,8653.13,8644.98,8623.38,8701.97,8731.25,8651.91,8624.97,8651.27,8651.14,8679.94,8690.74,8634.4,8719.41,8679.8,8586.53,8632.8,8574.64,8673.12,8620.81,8654.59,8634.51,8684.57,8628.88,8604.25,8671.7,.05
7000,8441.07,8464.68,8422.47,8477.26,8382.17,8398.6,8437.63,8443.46,8447.31,8437.31,8403.9,8431.83,8445.53,8405.43,8429.12,8424.14,8383.64,8410.64,8452.68,8452.6,8441.46,8379.58,8425.39,8508.55,8427.86,8389.68,8395.37,8482.85,8431.79,8438.61,8472.25,8426.81,8415.02,8384.55,8473.53,8411.94,8512.02,8480.48,8489.11,8488.05,8488.17,8414.4,8458.34,8387.98,8452.82,8446.29,8428.9,8389.87,8426.3,8375.09,8371.52,8432.24,8444.97,8454.29,8430.74,8447.3,8429.13,8413.17,8396.01,8497.91,8456.73,8478.56,8472.58,8462.19,8373.65,8413.81,8492.97,8440.56,8444.02,8459.77,8381.6,8492.33,8365.21,8447.61,8395.94,8434.62,8432.23,8386.29,8482.02,8502.94,8438.35,8420.02,8422.04,8442.95,8446.05,8472.59,8409.41,8498.62,8470.76,8359.44,8403.4,8364.62,8462.9,8398.54,8451.81,8419.09,8461.59,8413.68,8391.79,8434.39,.05
8000,8240.12,8245.42,8213.27,8259.85,8164.52,8193.52,8239.53,8249.09,8241.54,8221.85,8185.44,8224.62,8240.39,8213.13,8206.58,8211.58,8175.3,8183.64,8199.43,8260.18,8240.02,8162.21,8207.09,8295.54,8194.71,8171.17,8185.07,8304.63,8209.15,8248.65,8247.27,8244.78,8209.73,8169.75,8287.81,8212.6,8299.56,8265.0,8300.53,8272.45,8282.35,8199.29,8268.61,8167.62,8241.38,8226.95,8255.87,8185.07,8209.9,8158.96,8177.19,8230.01,8225.61,8263.51,8226.61,8246.07,8213.07,8185.38,8183.63,8290.16,8245.4,8301.68,8266.28,8260.09,8145.17,8207.34,8280.17,8254.68,8255.49,8268.34,8180.01,8275.43,8165.99,8246.45,8184.66,8234.56,8224.83,8169.03,8265.2,8276.13,8227.11,8210.49,8210.32,8210.26,8231.89,8288.48,8205.38,8295.46,8254.61,8162.84,8193.21,8166.37,8275.96,8199.49,8262.5,8213.04,8244.79,8225.41,8191.49,8230.68,.05
9000,8058.29,8039.2,8026.74,8066.9,7975.95,8013.51,7988.31,8087.43,8042.28,8043.99,7997.14,8036.03,8028.11,8026.46,8024.13,8042.23,7996.24,8009.21,8015.35,8061.3,8064.85,7978.06,8022.6,8093.11,7997.81,7991.3,7995.17,8093.53,8002.48,8067.28,8059.03,8038.45,8016.04,7977.81,8109.78,8030.56,8135.12,8052.04,8116.47,8087.08,8113.51,8022.91,8081.79,7978.16,8070.12,8037.77,8045.53,7983.62,8017.84,7969.15,7980.6,8029.08,8022.39,8093.81,8015.9,8051.28,8033.1,7989.15,8011.27,8111.4,8053.78,8103.6,8095.37,8087.98,7971.28,8027.58,8101.55,8061.98,8066.32,8062.93,7991.48,8063.36,7983.58,8055.24,8000.34,8052.73,8032.12,7992.79,8101.82,8091.82,8028.27,8021.69,8024.65,8035.56,8033.85,8093.13,8015.39,8105.82,8066.48,7989.56,7994.06,7967.76,8086.03,8032.48,8074.29,8026.88,8051.71,8030.87,8007.21,8050.74,.05
