Generation,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100,pop
0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,1.0
1000,9417.24,9416.66,9416.84,9420.13,9422.19,9415.29,9414.16,9412.94,9419.93,9416.32,9415.39,9421.09,9423.45,9418.1,9420.21,9424.76,9408.12,9410.76,9416.68,9415.76,9413.38,9420.27,9416.48,9418.99,9412.02,9409.73,9410.8,9414.96,9415.99,9406.84,9410.5,9414.05,9415.84,9415.66,9415.01,9415.68,9414.05,9418.38,9421.31,9421.65,9417.09,9416.24,9409.97,9415.76,9417.56,9412.11,9416.32,9410.7,9414.6,9415.75,9412.6,9406.02,9419.26,9418.8,9421.6,9430.88,9411.73,9414.45,9426.37,9411.89,9414.8,9414.98,9408.58,9413.82,9418.05,9409.48,9420.12,9411.02,9412.47,9417.98,9415.56,9415.37,9414.78,9413.08,9408.93,9417.76,9411.27,9414.67,9422.02,9416.2,9412.28,9417.2,9426.86,9410.53,9419.63,9421.26,9410.41,9412.19,9416.88,9417.6,9415.63,9410.32,9418.9,9417.06,9414.33,9409.52,9419.15,9415.86,9416.44,9412.21,1.0
2000,8861.78,8856.41,8858.74,8864.78,8865.86,8844.93,8852.44,8852.96,8864.95,8864.53,8856.83,8862.1,8867.19,8861.49,8855.5,8864.19,8853.35,8852.04,8863.96,8857.8,8852.56,8864.25,8863.4,8865.5,8854.84,8849.79,8855.26,8867.52,8849.75,8842.11,8846.48,8855.43,8856.24,8860.27,8859.08,8850.12,8853.34,8862.76,8867.46,8863.48,8853.99,8860.85,8853.31,8861.67,8861.44,8848.52,8856.34,8847.58,8859.82,8856.7,8858.34,8850.42,8864.84,8860.55,8865.58,8863.47,8855.95,8848.32,8871.55,8856.33,8856.43,8854.66,8852.2,8853.6,8861.16,8854.66,8862.0,8846.11,8844.58,8866.02,8853.5,8849.75,8860.5,8859.62,8849.2,8857.21,8855.75,8857.53,8864.66,8854.47,8856.31,8856.57,8872.91,8852.34,8867.25,8859.72,8854.53,8844.33,8861.64,8860.66,8860.84,8855.52,8863.89,8858.76,8862.19,8847.72,8859.93,8854.54,8854.53,8867.67,1.0
3000,8319.87,8308.35,8316.05,8320.81,8326.73,8300.61,8302.3,8306.13,8319.67,8325.5,8310.34,8314.54,8320.88,8318.02,8307.62,8317.13,8306.77,8299.13,8316.79,8308.59,8305.29,8316.77,8319.75,8316.24,8304.2,8304.49,8307.28,8314.73,8303.86,8300.26,8300.05,8313.65,8311.99,8313.08,8305.04,8306.04,8304.78,8317.69,8323.62,8324.85,8311.44,8317.66,8311.87,8307.7,8309.72,8300.8,8312.49,8295.81,8315.65,8318.34,8312.18,8308.31,8320.33,8316.64,8324.08,8318.68,8308.45,8300.31,8323.45,8303.4,8305.23,8301.0,8309.11,8312.98,8315.36,8311.4,8317.71,8304.17,8305.21,8321.47,8310.04,8310.74,8306.39,8313.75,8298.48,8312.35,8306.27,8307.25,8315.36,8316.52,8310.26,8314.99,8325.36,8309.19,8313.94,8318.48,8313.91,8304.29,8317.85,8309.66,8317.69,8306.83,8322.39,8307.63,8322.2,8301.0,8320.89,8305.79,8304.3,8323.89,1.0
4000,7791.33,7771.94,7773.93,7785.76,7797.5,7766.87,7771.48,7773.22,7785.35,7793.62,7786.03,7779.53,7795.26,7787.41,7776.8,7792.34,7777.22,7761.14,7788.18,7779.31,7787.72,7780.49,7795.68,7787.67,7776.68,7773.7,7777.05,7773.6,7782.41,7780.62,7775.08,7785.64,7771.38,7781.58,7771.05,7785.37,7775.2,7790.7,7799.35,7791.3,7789.0,7794.95,7775.34,7772.53,7773.94,7773.32,7792.45,7771.04,7783.48,7787.06,7779.62,7775.54,7794.22,7794.87,7801.14,7795.11,7781.13,7768.4,7793.3,7770.59,7770.55,7776.2,7786.87,7778.51,7780.54,7767.21,7785.37,7770.07,7778.3,7778.68,7772.59,7773.43,7783.76,7788.35,7779.64,7784.22,7780.02,7780.81,7789.62,7784.29,7785.27,7784.6,7800.84,7785.04,7789.58,7786.58,7795.71,7772.31,7790.32,7777.43,7790.07,7785.23,7785.29,7775.16,7785.84,7776.46,7797.24,7779.84,7774.86,7796.19,1.0
5000,7261.98,7244.11,7232.35,7257.49,7274.85,7243.36,7245.77,7239.83,7247.56,7262.59,7250.06,7235.46,7256.55,7254.2,7243.1,7267.4,7249.71,7232.76,7252.81,7255.36,7257.77,7250.92,7264.58,7259.82,7246.93,7241.82,7247.11,7231.99,7249.05,7250.19,7247.6,7188.24,7238.62,7253.52,7243.89,7257.35,7248.55,7263.85,7275.81,7260.6,7247.64,7261.12,7246.88,7238.4,7245.38,7237.09,7253.77,7244.91,7262.58,7246.42,7259.72,7243.18,7265.59,7263.58,7269.17,7256.98,7247.9,7242.17,7267.58,7242.83,7239.33,7238.71,7252.43,7248.63,7257.17,7236.59,7251.53,7243.0,7239.47,7242.02,7247.27,7246.26,7256.02,7257.64,7248.67,7258.17,7252.36,7249.4,7260.65,7268.27,7246.84,7246.93,7265.65,7250.8,7265.1,7259.76,7264.15,7242.66,7268.23,7237.12,7260.29,7243.96,7255.0,7241.44,7255.0,7245.09,7261.28,7246.59,7244.02,7270.84,1.0
6000,6748.09,6713.86,6701.47,6736.28,6747.84,6714.2,6714.78,6710.88,6731.17,6740.57,6714.72,6706.19,6743.2,6729.57,6707.77,6733.12,6728.66,6712.88,6722.34,6730.2,6734.93,6724.76,6728.65,6739.87,6718.4,6713.24,6719.06,6698.18,6716.51,6725.54,6723.52,6528.12,6709.89,6726.59,6722.64,6716.68,6720.77,6738.79,6750.52,6730.54,6719.61,6740.2,6711.02,6719.13,6719.76,6709.68,6722.7,6717.12,6725.39,6713.5,6733.27,6711.42,6723.32,6725.71,6743.49,6728.92,6705.36,6724.17,6741.6,6710.1,6710.65,6710.55,6717.34,6720.49,6731.17,6701.73,6730.1,6713.93,6702.57,6708.74,6722.43,6702.15,6735.12,6727.78,6718.99,6728.07,6723.72,6718.89,6742.74,6724.45,6715.69,6714.49,6743.73,6722.54,6738.0,6731.7,6733.69,6695.27,6741.12,6704.58,6734.74,6712.06,6728.7,6713.95,6729.82,6724.71,6727.81,6719.1,6708.91,6742.03,1.0
7000,6214.34,6181.24,6168.82,6201.35,6218.1,6177.94,6188.67,6185.7,6211.52,6210.6,6196.69,6168.47,6213.34,6181.39,6186.02,6206.15,6200.68,6172.07,6195.68,6205.43,6213.74,6191.95,6212.19,6198.02,6198.51,6181.42,6178.84,6173.25,6179.14,6204.67,6188.44,5857.7,6190.71,6204.22,6188.7,6192.1,6193.66,6205.4,6218.76,6205.3,6192.98,6206.33,6196.09,6179.27,6174.72,6182.12,6197.45,6197.01,6197.49,6178.25,6203.36,6183.06,6189.83,6200.42,6209.26,6205.65,6172.13,6186.85,6213.12,6185.78,6171.66,6178.5,6191.56,6190.22,6206.7,6171.27,6198.04,6191.14,6181.3,6184.91,6189.76,6177.85,6198.29,6203.69,6204.33,6201.99,6188.55,6193.12,6213.99,6203.33,6194.09,6187.3,6216.74,6196.64,6214.39,6200.03,6202.69,6180.01,6215.1,6177.63,6210.17,6186.09,6205.21,6182.24,6207.47,6190.24,6195.79,6187.39,6183.75,6213.09,1.0
8000,5687.37,5648.27,5642.01,5674.59,5688.75,5643.79,5649.09,5667.0,5675.45,5676.7,5664.8,5639.6,5691.56,5657.13,5661.49,5670.95,5683.49,5648.45,5668.23,5682.8,5683.75,5665.41,5682.12,5665.28,5673.32,5661.0,5661.31,5638.22,5671.55,5667.6,5649.82,5180.41,5658.89,5671.02,5656.78,5661.78,5664.22,5678.74,5680.98,5671.89,5667.17,5683.65,5664.92,5653.87,5640.73,5652.38,5670.35,5663.27,5669.13,5640.68,5682.89,5654.82,5660.28,5674.84,5687.72,5667.03,5643.79,5660.91,5693.01,5672.08,5639.52,5653.45,5669.28,5660.49,5677.09,5637.59,5669.52,5665.46,5655.05,5648.76,5644.3,5642.95,5667.29,5660.39,5678.53,5676.77,5653.43,5678.05,5686.89,5665.82,5668.51,5663.65,5686.42,5661.6,5682.38,5660.62,5678.3,5650.01,5704.27,5649.76,5687.88,5658.15,5676.51,5639.64,5676.57,5658.91,5675.86,5655.06,5651.08,5684.68,1.0
9000,5163.33,5115.57,5110.85,5137.89,5160.4,5127.11,5129.84,5123.13,5136.39,5156.45,5139.12,5098.46,5164.12,5128.28,5130.11,5145.79,5156.17,5126.64,5136.48,5149.76,5160.48,5131.22,5165.43,5133.56,5149.41,5135.31,5118.79,5112.57,5142.32,5151.12,5127.08,4502.32,5123.83,5151.73,5123.66,5139.79,5146.77,5147.82,5155.83,5136.04,5134.89,5150.79,5132.21,5122.51,5113.45,5127.07,5141.62,5130.36,5145.17,5108.45,5158.49,5124.71,5120.06,5147.07,5157.21,5144.74,5111.49,5132.55,5160.22,5133.86,5096.51,5132.57,5133.58,5124.57,5143.58,5113.84,5133.21,5129.33,5125.4,5125.09,5121.74,5108.65,5154.19,5133.1,5151.69,5139.18,5120.82,5146.11,5153.18,5142.58,5137.61,5120.82,5166.1,5124.47,5156.98,5140.13,5158.23,5114.71,5168.66,5121.26,5154.27,5131.7,5122.25,5115.35,5153.46,5130.48,5130.45,5126.13,5122.59,5156.18,1.0
