Generation,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100
0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
1000,10023.4,9994.31,9991.82,9974.48,10027.2,10023.5,10012.8,10004.9,10012.2,9995.16,10007.9,9997.09,10033.8,10038.9,10018.6,10025.2,9997.09,10009.6,9997.09,10009.2,10005.9,9999.12,10024.5,10013.2,10011.7,10002.4,10002.2,9971.65,10013.0,9996.68,9987.61,10012.2,10019.0,9980.57,10043.3,9997.35,9949.62,9987.76,9992.51,9998.39,9995.15,9999.29,10012.6,10009.0,9972.18,9987.14,9992.61,10008.6,10027.6,10042.3,9975.37,10010.5,9991.17,9991.42,10011.9,9981.59,9991.02,10017.9,10012.9,9959.06,10004.3,9971.18,9996.6,9999.43,10012.2,9977.6,10022.6,9990.81,9987.48,9985.77,9984.17,10003.9,9985.2,10010.8,9991.59,9987.25,10007.2,10000.9,10017.9,10022.1,10013.0,10005.4,10014.8,10012.7,10039.2,9989.23,9983.34,10006.7,10004.1,9982.72,10022.4,10001.7,10008.9,9994.06,10016.7,9990.88,10005.5,10015.3,9989.77,10008.1
2000,10004.9,10025.4,9994.25,9971.01,10041.8,10021.4,9963.37,10009.2,10007.1,10026.9,10038.1,10069.9,10039.3,10034.5,10006.8,9964.99,9982.12,9997.77,9967.3,10065.1,10036.4,9999.25,10064.0,10038.6,9989.25,9925.4,9991.61,9970.64,9953.01,10044.6,9988.83,9994.0,10039.7,9978.4,10079.3,9959.68,9991.15,10040.4,10037.2,10022.9,9990.08,9973.08,10035.2,9969.37,9960.36,9989.24,10004.2,10004.5,10044.1,10039.6,9959.84,10049.7,10011.3,9976.32,9941.1,9999.38,10053.5,9994.34,9990.77,9933.72,9972.28,9985.96,9973.6,9964.44,10018.9,9922.25,10010.6,9995.32,9966.9,9966.63,9940.69,9986.61,10000.8,10017.8,10019.9,10002.1,10035.2,10017.7,10027.8,10027.4,9962.57,9993.22,9973.6,9998.82,10001.6,9965.55,10003.8,9961.06,10010.9,9963.42,10033.5,10022.3,10000.1,10020.7,10042.8,9972.67,10018.6,10036.0,10010.1,9996.66
3000,10059.7,9978.33,9966.56,9968.04,10039.8,10053.4,9972.73,9986.41,10019.5,10040.9,10021.5,10042.6,10067.2,10011.9,9976.55,9961.64,9972.75,10011.9,9936.03,10083.7,10052.4,9995.15,10112.7,10053.0,9984.09,9946.95,10089.1,9917.29,9931.38,10073.0,9985.24,10012.7,10116.2,9958.18,10044.4,9934.04,9996.59,10052.9,10007.5,10038.0,10013.3,9978.87,10019.5,9960.54,9985.36,9975.13,10019.6,10062.9,9971.24,10093.1,9921.5,9961.78,10038.3,9947.51,9994.7,9976.04,10111.3,9974.16,10001.5,9944.2,9985.82,10004.7,9976.64,10072.7,9991.6,9941.77,10043.8,9955.08,9915.59,9997.54,9961.52,9994.47,10002.6,10049.9,9997.47,9984.24,10070.3,10036.9,10049.5,10096.2,9934.97,9986.22,9957.5,10018.1,9993.27,9982.8,10007.1,9942.22,10024.1,9950.9,10075.3,10021.4,9978.55,10038.8,10064.0,9963.54,10031.7,10047.1,10006.7,9972.82
4000,10076.6,9996.58,9904.97,9939.82,10004.5,9986.4,9965.45,9990.04,10027.4,10025.2,9984.19,10030.6,10097.2,9963.79,9941.74,9983.33,9997.07,9970.99,9958.55,10046.0,10068.2,9970.58,10183.0,10119.3,10005.7,9932.38,10092.7,9942.73,9932.27,10035.1,9954.71,9963.12,10102.1,9951.33,10033.0,9930.05,9982.13,10058.7,10003.9,10043.8,10020.8,9963.62,9992.67,9937.69,9982.87,10045.5,10030.5,10075.9,9987.11,10104.0,9982.44,9924.77,10019.5,9954.95,9980.64,9964.9,10145.7,9961.06,10054.1,9972.48,9953.32,10016.2,9977.63,10091.4,9999.09,9947.68,9940.37,9979.23,9886.79,10003.2,9958.38,10024.0,10001.1,10046.5,10003.1,9948.82,10101.7,10011.4,10057.6,10083.3,9928.69,10014.9,9941.45,10037.7,9950.63,10003.5,10044.0,9936.55,10029.3,9984.78,10065.0,10024.7,9956.78,10038.7,10076.0,9989.87,10048.2,10020.6,10060.6,9966.01
5000,10057.1,10007.5,9915.99,9939.14,10026.3,9948.86,9976.52,9922.98,10059.5,10075.7,9948.51,10037.7,10046.3,9941.45,9966.51,9947.81,10013.2,9959.49,9959.66,10047.4,10063.2,9988.85,10161.4,10131.3,10005.5,9929.08,10092.8,9970.01,9961.26,10049.1,9903.0,10051.4,10135.3,9946.31,10037.2,9898.19,9953.03,10038.8,10033.3,10065.9,10019.7,9959.98,9952.14,9974.2,9968.52,10037.8,9998.2,10134.6,10014.2,10073.9,9968.54,9912.4,10000.9,9929.33,9983.36,9940.08,10145.4,10012.7,10042.2,9969.68,9946.07,9988.93,9993.33,10043.1,9958.77,9927.9,10015.0,10007.8,9863.47,9975.31,9966.33,9976.48,10007.8,10048.5,9999.77,9940.94,10054.4,10005.3,10048.4,10067.2,9949.76,9999.7,9909.96,10051.4,9930.93,10050.6,10056.4,9914.41,9987.43,9960.11,10056.1,9970.89,9928.35,9992.07,10038.8,10027.6,10016.4,9970.47,10118.2,9988.34
6000,10018.9,9984.92,9930.58,9914.27,10022.4,9970.86,9997.71,9900.01,10097.0,10060.9,9944.31,10024.6,10092.7,9884.58,9951.59,9953.46,9971.5,9966.74,9944.38,10053.4,10084.6,9964.35,10173.7,10141.9,10067.6,9956.17,10089.2,9964.67,9963.46,10100.7,9924.4,10032.2,10165.1,9918.54,10024.9,9915.02,9957.11,10044.8,10028.2,10048.2,10008.6,9945.19,9915.83,9993.71,10002.4,10031.6,10005.4,10190.1,10043.9,10067.2,9911.88,9891.91,9986.71,9889.09,9989.58,9912.31,10172.0,10062.7,10009.8,9952.25,9977.99,9982.51,9958.75,10015.2,9962.22,9929.24,10052.1,9969.84,9849.35,10004.9,9955.03,10032.0,10033.8,10040.8,9962.31,9954.0,10069.1,9998.76,10050.9,10104.7,9901.52,10038.1,9889.39,10057.4,9972.89,10058.8,10048.8,9949.17,10004.3,9943.88,10093.0,9981.22,9965.67,9950.95,10050.4,10010.3,10035.8,9918.03,10163.9,9976.61
7000,10017.3,9998.1,9875.39,9937.88,10026.4,9987.23,9988.8,9923.85,10080.1,10069.0,9939.07,10048.6,10108.2,9921.91,9975.35,9939.68,9990.25,10024.8,9923.28,10048.5,10097.5,9963.83,10185.2,10144.2,10056.9,9969.29,10065.8,9949.14,9996.99,10102.1,9930.2,10084.5,10212.5,9906.96,10021.5,9985.96,9962.62,10039.6,10045.9,10079.8,10028.8,9933.55,9877.77,10007.0,10016.1,10030.6,9989.11,10188.7,10065.0,10088.3,9947.28,9888.04,10001.9,9915.19,10015.8,9918.95,10182.4,10075.1,10016.6,9985.61,9947.67,10044.3,9913.43,10019.9,9962.88,9922.53,10087.6,9938.89,9842.69,10044.3,10008.8,10034.4,10045.3,10049.2,9954.36,9937.91,10109.8,9989.55,10014.6,10091.7,9939.65,9983.08,9886.85,10012.2,10003.7,10064.4,10073.2,9943.71,9975.8,9941.57,10139.9,9978.05,9976.11,9934.1,10065.1,10014.5,10004.0,9892.76,10181.4,10025.5
8000,9991.12,10009.7,9886.12,9960.32,10022.9,9983.76,9989.56,9914.88,10097.2,10055.4,10011.9,10070.2,10108.8,9929.81,10001.6,9897.81,10013.1,10035.5,9948.52,10044.9,10131.3,9894.14,10183.3,10162.3,10024.9,9981.38,10075.2,9937.94,9980.45,10100.7,9940.34,10089.3,10258.0,9900.16,10011.3,9939.42,9940.49,10079.5,10007.8,10055.3,10007.6,9966.8,9840.09,10024.9,10022.9,9982.22,9961.33,10230.6,10050.2,10132.1,9970.8,9893.83,9989.71,9918.27,10026.5,9947.26,10177.5,10095.9,10010.0,10008.2,9968.06,9957.45,9939.21,9995.93,9901.79,9914.45,10101.8,9953.55,9837.06,10075.7,10067.4,10026.0,10036.6,10034.1,10010.9,10002.4,10023.4,9978.72,10029.2,10097.2,9954.13,9968.09,9892.81,9976.82,10022.4,10006.0,10075.4,9950.75,9938.09,9963.4,10123.6,9983.13,9986.16,9928.51,10074.5,9989.47,9960.95,9919.68,10151.7,9930.83
9000,9975.26,10013.4,9905.93,9945.71,10050.2,9981.62,9964.21,9911.82,10089.2,10071.2,10004.2,10052.6,10026.9,9869.5,9979.26,9894.07,9999.47,9976.56,9966.86,10029.7,10164.0,9883.61,10224.1,10177.3,9991.58,10050.0,10074.0,9915.1,9997.21,10075.8,9935.92,10089.5,10266.6,9891.1,10036.5,9919.87,9924.11,10114.2,10060.2,10101.7,10033.8,9973.37,9827.62,9977.84,10057.8,9972.13,9973.38,10256.1,10035.7,10160.7,9957.71,9878.78,9993.1,9883.27,10013.3,9938.55,10165.9,10154.1,9986.35,10062.4,9996.47,9977.02,9921.71,10029.7,9894.44,9933.72,10094.7,9937.42,9868.53,10048.0,10075.6,10039.3,10046.3,10065.3,9988.03,10039.2,10006.2,9991.49,10000.4,10059.6,9944.78,9953.76,9932.71,9989.14,10007.7,9944.49,10064.8,9934.56,9918.06,9966.55,10101.6,9925.25,9973.97,9945.09,10039.7,9958.52,9970.34,9927.03,10102.1,9909.79
