Generation,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100,pop
0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,.50
4000,5682.66,5625.7,5684.54,5730.73,5756.54,5682.08,5690.84,5777.12,5823.24,5796.29,5675.98,5774.46,5803.57,5734.66,5648.51,5613.54,5630.3,5692.92,5735.71,5752.78,5758.88,5707.06,5541.5,5770.73,5838.57,5829.76,5761.83,5666.64,5738.03,5681.27,5757.16,5779.05,5627.15,5856.8,5917.25,5718.0,5692.05,5786.14,5826.02,5728.66,5664.62,5624.89,5683.33,5775.19,5718.98,5863.06,5652.15,5758.37,5772.06,5791.61,5687.81,5827.12,5815.65,5665.18,5689.12,5842.34,5712.62,5686.13,5808.51,5795.32,5666.14,5783.6,5633.88,5622.9,5627.41,5779.74,5589.08,5722.13,5794.15,5673.93,5724.3,5727.42,5726.95,5666.94,5775.55,5695.7,5709.31,5689.9,5680.5,5571.56,5730.06,5785.95,5734.36,5714.92,5685.66,5673.02,5798.59,5808.23,5639.66,5687.31,5730.51,5765.11,5842.86,4624.33,5801.63,5751.71,5656.19,5805.24,5796.08,5650.4,.50
8000,2666.42,2680.61,2727.29,3171.79,2775.6,2783.2,2759.52,3212.45,2815.89,2826.45,2722.97,2955.3,2883.05,2745.59,2747.72,2704.87,2725.2,2778.4,2787.67,2843.64,2821.96,2774.51,2598.01,2762.12,2751.91,2990.77,3172.92,2738.23,2779.11,2794.61,2868.41,2841.42,2781.3,3109.74,2909.73,2768.76,2803.72,3197.89,2864.0,2745.87,2706.94,2774.54,2829.24,2735.62,2736.66,2878.46,2763.13,2862.23,2766.63,2833.36,2721.56,2958.1,2812.46,2714.17,2706.9,3155.48,2856.77,2752.86,3170.45,2741.46,2823.01,3052.78,2690.66,2724.83,2657.03,2745.49,2644.54,2793.06,2854.98,2728.4,2931.86,2582.28,2668.8,2705.8,2850.07,2662.83,2805.13,2773.24,2710.46,2686.26,2788.79,2824.18,2836.75,2795.29,2672.63,2711.56,2798.08,2811.28,2693.81,2614.47,2769.48,2712.76,2815.94,1549.27,2842.7,2791.48,2747.4,2816.56,2953.78,2682.19,.50
12000,628.69,673.6239999999999,683.285,734.9760000000001,717.295,727.284,710.172,831.222,717.0319999999999,811.166,753.393,734.842,824.7669999999999,762.7639999999999,779.535,667.528,758.505,766.431,745.133,820.575,766.296,736.65,655.119,769.498,774.5939999999999,847.0169999999999,805.832,781.69,783.0369999999999,738.6,745.7669999999999,798.335,741.676,727.216,821.98,795.8330000000001,837.549,873.0880000000001,799.541,766.554,669.2769999999999,830.8330000000001,770.1360000000001,704.982,740.873,824.98,772.502,698.284,713.7739999999999,798.9010000000001,687.962,871.4730000000001,749.112,798.538,689.186,725.813,831.654,682.4960000000001,730.743,725.1260000000001,741.797,806.0,740.752,748.591,698.689,723.712,636.941,767.074,755.42,765.428,759.952,483.89300000000003,623.581,637.186,752.301,776.368,764.0360000000001,779.078,708.815,704.7439999999999,733.3530000000001,724.637,821.1460000000001,808.6260000000001,703.8530000000001,696.535,789.283,757.2919999999999,745.2260000000001,618.179,707.557,733.6310000000001,763.0210000000001,88.4764,794.73,753.318,763.612,815.498,734.758,661.6110000000001,.50
16000,49.9846,50.6794,63.515,52.568000000000005,47.6281,50.7748,49.4326,49.4308,44.5038,49.6461,64.366,55.501000000000005,49.4165,76.4828,52.825,42.8721,70.8871,57.3162,55.5348,60.1526,58.413000000000004,44.7563,58.5548,53.4601,47.5325,53.1249,47.8541,47.0136,54.7341,46.7847,44.8156,50.8189,47.3696,49.3972,45.9226,47.4384,55.1822,49.4856,47.5286,52.1449,54.2427,51.8323,47.5691,49.5483,53.5216,52.3226,44.8531,47.792,43.896,46.4725,58.998000000000005,67.6434,56.17,47.6935,45.4651,44.5783,51.3741,45.3958,51.2885,59.687,51.2246,59.7408,56.2776,49.618,43.3723,56.3177,51.1687,85.6753,54.582,48.2113,46.1911,49.4028,49.2326,52.2643,49.2258,54.2271,48.9146,52.6053,43.8342,50.4898,53.2259,48.5513,52.1176,46.5496,50.8516,49.1404,46.5109,46.3665,49.0056,47.7143,53.0722,50.9699,56.551,79.7117,51.9966,49.4574,50.0416,51.226000000000006,49.7855,46.9387,.50
20000,52.005,49.7809,48.52,50.2508,51.3517,47.8353,45.974,50.1325,40.7106,45.3987,50.1601,44.5995,50.7758,45.9482,43.6278,46.3003,46.1542,47.8375,52.2599,49.4485,47.7349,51.1657,46.9959,45.2259,48.3443,44.0166,53.1799,44.141000000000005,44.1868,48.5424,53.3059,48.9547,50.7494,45.0088,41.7138,53.2574,56.6689,49.2802,48.3714,50.3705,51.848,54.2198,42.9487,45.3175,45.2692,47.6238,58.3672,46.4933,55.7756,49.8957,55.1629,46.9845,50.9461,56.1615,52.7849,45.6416,54.7788,53.1904,51.5154,47.13,48.4385,50.6132,48.3249,45.1493,55.8301,53.7511,52.0866,75.5843,50.3324,51.986999999999995,56.0127,54.2685,44.9419,46.5399,45.1116,47.8191,49.3237,50.3941,49.7059,43.4619,47.0623,47.9819,53.1511,54.5656,45.4025,46.3483,48.9329,46.833999999999996,45.3894,47.5786,49.4918,46.3516,55.1965,78.4127,55.9665,45.483000000000004,43.3728,42.7814,46.1192,54.0182,.50
24000,52.97,53.5553,47.396,42.4319,48.4977,51.5726,52.0928,50.4492,51.4129,48.9404,48.3556,49.9918,44.9233,45.7025,47.1939,55.268,49.5327,53.3359,49.2147,47.7533,51.4626,49.9085,48.6308,48.3435,52.1657,54.0011,44.6371,53.4788,47.2264,54.1079,45.8534,49.1689,49.3691,44.8738,48.6629,51.9188,46.4699,47.8874,49.0631,54.4668,45.961000000000006,53.8901,49.1209,49.5335,52.0974,49.9833,42.0671,48.8297,60.5748,48.9953,38.2366,46.4762,57.7305,50.9011,48.1778,60.7181,43.9659,52.1637,48.9281,51.9597,51.6847,44.3055,48.3205,55.7226,46.9227,41.376000000000005,44.8036,79.7351,49.888999999999996,41.4565,60.1788,46.7197,46.6455,55.2015,47.7191,49.5859,48.4486,49.6956,49.723,48.6521,52.0821,49.2178,44.7976,50.0093,50.8106,49.278999999999996,47.659,48.53,48.4194,48.8138,48.5256,51.8698,45.2239,86.3199,52.0883,45.1143,51.8109,45.85,51.0191,48.4909,.50
28000,49.8427,43.9189,51.7884,50.1333,45.8147,49.042,56.4363,57.5699,46.7838,43.0837,51.6043,52.3739,44.7796,54.1487,47.6872,49.3698,49.1255,45.4834,52.895,52.0496,52.2252,51.5874,52.0504,46.8467,47.0936,44.4896,47.0898,52.5309,42.6751,50.8126,56.4865,50.8925,50.552,49.2918,49.5822,49.9747,49.996,51.4936,56.9494,39.4359,53.6969,52.1586,54.3968,47.0859,47.8852,48.6724,42.3884,52.5432,47.4286,55.4544,49.4389,53.5518,46.2671,46.3393,50.2923,47.6917,49.7252,44.742,49.1973,50.1479,42.2774,47.3514,46.2354,51.8137,49.1482,52.243,55.0721,78.0927,54.2192,41.3037,53.5441,56.6935,46.5152,53.032,50.963,51.0977,54.2894,57.5945,45.5689,44.0472,54.0121,52.3934,50.0629,51.4426,50.4301,45.2928,52.1149,49.3862,48.5654,54.8478,49.1984,42.1621,42.6814,80.679,46.9066,47.9632,52.5954,48.4961,53.5714,54.4252,.50
32000,46.4927,51.3621,47.7793,47.9344,51.993,47.6968,43.3517,55.7461,48.1954,54.6032,49.4938,44.3019,47.8054,48.4269,49.8226,46.3549,45.3721,47.1383,49.06399999999999,50.6474,48.0599,51.8027,48.5385,53.5579,56.7287,50.4469,50.8954,43.4666,44.6648,59.6405,49.3645,46.9782,46.0415,50.7292,45.167,47.7197,46.6719,54.598,39.1466,53.3053,49.6431,45.5885,43.0116,47.5797,48.6072,46.1247,48.4567,48.5053,51.6296,58.2862,48.2112,49.872,52.9887,46.7525,49.3285,48.836999999999996,51.4072,51.0532,48.1854,46.6481,52.0251,46.6861,42.1085,52.5792,51.0061,49.9933,58.3408,70.7911,48.6059,49.809,52.1509,43.0288,49.1386,52.8588,53.083999999999996,46.0345,54.6682,52.7949,54.1078,49.8304,47.7784,56.0265,47.7451,53.1021,50.4498,49.0834,47.6389,54.3866,53.6389,45.6435,49.746,47.68600000000001,54.1944,78.093,47.5716,45.8383,48.3395,56.492,55.5871,51.6563,.50
36000,53.2637,46.2024,46.8758,47.1676,46.7067,49.5586,45.1476,50.9295,55.1846,49.4632,49.3795,46.9866,44.2392,48.8232,49.2155,47.6186,53.2042,42.9564,54.9217,51.9066,49.5192,48.5174,44.5121,52.5022,46.611999999999995,50.6844,44.5809,47.7355,53.9697,49.0168,47.0386,50.8112,50.1414,51.4017,56.2305,54.8299,45.8785,52.8533,45.6761,49.8137,44.221000000000004,46.1127,43.2548,53.081,48.8885,55.1934,48.4962,42.081,48.3117,54.9181,54.9504,44.1644,52.3909,52.8488,45.8156,48.8906,56.7927,46.3945,51.4631,40.8231,53.8248,48.3039,49.7783,50.8512,49.6391,55.8621,47.1647,68.1618,49.5215,50.9844,45.5207,48.2443,54.5023,48.4233,47.0114,48.913999999999994,50.317,49.3681,47.7309,47.6498,48.7162,48.7536,47.6632,45.5159,54.7768,49.1314,42.7995,47.975,44.3998,48.6471,50.2265,44.188,49.8286,79.7575,48.8991,50.8725,49.1285,47.4834,50.0406,54.7734,.50
