Generation,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100,pop
0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,1.0
3000,6813.89,6791.83,6728.45,6748.09,6711.37,6764.57,6791.2,6727.84,6734.2,6788.71,6754.52,6712.9,6762.81,6793.39,6745.72,6793.72,6747.72,6727.41,6804.08,6834.02,6779.82,6691.78,6680.82,6765.19,6817.99,6658.04,6756.57,6763.35,6811.13,6737.35,6797.16,6766.57,6768.92,6726.71,6734.75,6695.45,6799.46,6760.38,6849.09,6741.7,6742.67,6729.31,6780.14,6782.01,6771.45,6748.78,6807.78,6730.6,6844.69,6699.39,6804.19,6853.62,6772.01,6653.44,6727.56,6691.89,6685.83,6808.49,6739.04,6736.52,6771.35,6720.17,6680.36,6755.52,6652.92,6756.15,6721.66,6732.34,6796.07,6718.09,6756.34,6701.96,6742.39,6755.22,6741.36,6714.06,6758.94,6766.34,6744.77,6738.42,6695.63,6798.33,6795.68,6749.78,6737.29,6713.3,6795.39,6747.69,6773.74,6778.21,6788.22,6827.36,6748.62,6709.27,6761.42,6769.93,6686.29,6669.9,6795.4,6823.47,1.0
6000,4142.41,4320.03,3914.49,4384.47,4033.43,4108.15,4201.96,4101.18,4121.63,4466.2,4361.95,3957.64,3986.96,4092.95,4092.12,4094.29,3944.74,4461.05,3957.35,4028.31,4006.09,3887.96,4386.48,4082.27,4004.55,3930.49,4285.4,4068.99,4388.07,3967.98,4379.97,3939.84,4041.14,3986.42,3969.93,4341.45,4006.1,4049.59,4006.87,4025.01,3998.41,3995.97,4128.94,4030.49,4079.98,3991.41,4027.66,3945.01,4540.77,4053.39,4462.57,4100.42,4158.95,3849.83,3983.87,3901.18,4063.52,4036.87,4377.66,4010.94,4248.53,4163.77,3915.85,4006.12,3900.11,4080.66,4046.63,4009.26,3917.36,4094.63,4364.16,3971.8,3910.65,3884.87,3910.91,4011.76,4067.26,4157.09,3955.65,3683.82,3944.15,4042.68,3986.62,4331.96,3998.19,4038.4,4208.11,4143.87,4345.85,4481.66,3993.57,3990.93,4144.46,3965.24,3979.81,4178.72,3905.33,3832.67,4119.72,4130.65,1.0
9000,2338.1,2144.77,2201.62,2438.57,2264.41,2294.26,2200.84,2221.46,2274.67,2642.68,2323.8,2106.82,2217.6,2144.96,2232.29,2189.6,2210.16,2454.18,2254.16,2214.57,2203.52,2140.58,2583.85,2278.45,2183.05,2134.93,2299.27,2189.28,2320.92,2116.69,2530.99,2200.37,2219.71,2137.83,2232.76,2326.6,2233.89,2257.3,2251.93,2292.59,2278.28,2271.23,2293.4,2216.46,2250.72,2243.52,2254.19,2167.56,2700.66,2218.27,2553.82,2211.9,2402.11,2120.63,2209.7,2191.86,2283.49,2240.7,2348.37,2241.01,2345.39,2204.55,2087.59,2292.71,2199.31,2234.03,2208.41,2233.72,2202.19,2234.0,2508.73,2180.49,2172.74,2230.24,2127.88,2273.55,2272.05,2238.13,2171.06,1573.67,2162.22,2244.24,2263.99,2418.62,2256.52,2286.27,2174.46,2341.98,2241.78,2525.46,2169.46,2264.37,2280.85,2235.76,2196.46,2334.37,2126.1,2201.14,2263.55,2210.58,1.0
12000,759.91,729.596,738.828,707.352,768.227,851.074,708.3539999999999,753.745,764.305,846.485,845.841,657.115,755.57,686.686,745.097,741.2330000000001,777.671,888.3380000000001,787.737,789.2860000000001,718.821,698.7439999999999,826.04,779.145,731.1669999999999,744.1110000000001,842.797,726.9060000000001,768.535,655.122,800.41,690.805,745.961,595.9580000000001,744.1239999999999,601.185,706.165,736.808,822.675,783.5989999999999,743.045,836.8839999999999,833.505,735.905,789.257,744.9889999999999,801.383,716.962,949.316,735.811,867.432,748.525,820.7739999999999,683.26,711.997,710.9689999999999,815.2139999999999,855.684,772.1060000000001,720.5239999999999,846.534,694.615,629.757,855.875,726.855,749.1039999999999,756.557,676.779,708.22,755.7769999999999,822.2869999999999,664.173,732.048,790.654,683.904,757.336,781.345,696.3710000000001,739.1039999999999,187.12,774.1439999999999,780.819,794.3439999999999,777.317,749.283,758.166,677.6039999999999,763.304,689.883,851.695,691.7280000000001,801.555,812.398,780.122,763.933,777.628,679.573,701.58,733.013,686.738,1.0
15000,58.2381,61.5994,64.6143,50.5498,91.5383,53.5941,65.2824,66.718,73.0237,49.418,88.7852,55.0943,75.0819,55.4065,67.363,58.3653,52.8169,112.061,67.9297,54.047,78.6204,56.6793,61.1743,90.3212,63.1314,68.7973,55.8735,48.46,51.4266,56.5624,63.488,59.1369,53.0918,54.1465,63.5361,95.0309,72.1468,77.5722,47.7593,64.6118,66.7149,91.5221,83.8884,66.3461,74.0528,79.8836,63.2417,45.4846,76.1966,50.6026,81.6735,63.6304,79.1343,65.5346,77.8652,54.7409,153.78799999999998,73.8373,56.5398,46.7481,75.3232,53.4929,69.9171,126.449,54.1843,62.0521,65.6458,73.77600000000001,51.9074,98.8477,79.965,54.2725,69.5464,53.1439,71.6687,57.9798,86.4886,66.2022,90.1508,73.1614,75.9832,85.8356,71.9445,60.6608,65.2608,71.8802,49.8071,67.619,53.8429,96.5459,67.748,86.1369,44.5761,65.9623,57.956,83.4271,54.5637,81.7709,64.4657,71.3165,1.0
18000,49.953,54.63,54.2807,51.1751,47.5594,56.7992,51.1752,47.3526,43.681000000000004,47.5805,52.1704,47.9518,51.5376,50.5792,46.8773,51.3988,49.3433,44.8168,47.31,51.203,48.4172,53.6372,50.5597,50.9722,51.7279,51.6369,47.8251,53.2463,50.6237,52.1228,50.8747,45.246,52.4792,45.8254,48.9956,46.3871,52.0471,48.123999999999995,44.1358,47.771,55.0304,51.9517,55.9121,48.3419,58.1025,48.3694,47.4744,50.86,51.8068,45.5891,42.9512,52.2358,46.9925,48.4745,48.977,48.6274,49.7269,55.8219,47.034,47.0897,52.3636,47.0618,46.6334,46.3152,48.2207,54.0596,46.4272,55.2542,47.1192,51.9408,43.2297,57.5526,52.864,53.4424,46.9947,53.0531,50.0076,50.6117,45.3448,80.3094,50.0478,55.3266,53.1474,43.2188,48.9825,49.3465,48.1325,45.0257,47.4957,47.6516,56.1335,45.6752,40.6666,51.1,57.1724,53.5888,50.1319,47.4743,57.1304,54.2617,1.0
21000,51.928999999999995,56.861000000000004,50.0979,54.7224,44.9218,51.4645,44.7286,43.3763,56.8694,50.3162,49.0484,46.6205,48.1263,50.8354,53.4596,47.9614,48.0594,50.659,41.1484,49.6958,56.4331,51.7565,47.2429,51.9482,51.9029,53.5476,51.8977,55.2322,49.785,49.7207,47.326,50.9681,48.5997,56.3222,46.3794,49.7494,48.4284,45.8302,45.7421,48.6276,47.028999999999996,47.5403,52.0313,54.965,53.7864,48.177,45.3609,43.7425,45.8477,45.2336,42.3115,52.3237,50.1414,52.1991,50.0823,58.255,47.8035,46.2807,45.1965,53.882,44.2393,50.7292,47.9974,44.5959,49.7134,53.4121,50.3542,45.9923,44.114,48.2076,45.2439,46.8499,50.3837,50.5899,52.1148,43.1819,51.4168,46.5278,52.2667,78.4909,42.702,50.2389,53.083999999999996,47.5701,48.5676,52.7851,48.4232,52.3513,49.2728,47.7504,51.2512,52.3286,47.0535,46.6997,47.6599,47.3871,45.4971,51.8797,50.4888,48.6053,1.0
24000,49.7054,53.6745,46.755,49.2034,47.1271,51.4712,53.2122,55.6138,52.3934,48.3544,42.5318,43.0144,47.2647,54.5671,59.82,52.6239,64.5454,49.9743,52.0587,45.364,44.4523,48.2875,46.3695,49.6395,53.4624,52.7344,45.1655,49.1863,54.0406,47.5767,42.4795,43.7896,50.2267,48.4868,39.2115,50.6678,46.3579,51.2404,51.614,56.7337,45.0932,51.8467,42.4749,45.7716,48.4738,45.1734,52.9881,54.5659,49.3643,46.7575,45.4976,42.6886,40.3043,50.3876,45.8329,53.5782,46.1517,43.4914,56.5352,54.0856,46.0721,50.2464,48.0762,48.8293,43.2066,44.5034,46.0909,52.7,44.5295,51.6138,52.0808,44.9528,45.9838,44.836999999999996,50.3102,48.0396,46.43600000000001,49.3639,48.5171,66.822,56.8671,48.6763,42.6512,53.1671,45.5902,50.8267,50.3695,49.7988,54.9438,47.5666,43.2938,50.6382,42.166000000000004,47.6866,47.958999999999996,53.0788,39.3848,50.5371,50.6286,51.0656,1.0
27000,41.5653,54.3195,51.8645,46.8967,43.193000000000005,56.0149,47.3918,49.4109,48.5958,46.8156,47.3718,49.6732,49.8358,48.268,49.9991,53.6093,45.5704,52.4385,46.023999999999994,48.5434,52.0882,49.7923,51.698,51.0512,49.3345,52.0147,43.0901,48.141999999999996,49.354,54.8324,52.2891,49.4202,43.2101,57.486000000000004,44.5902,49.7538,44.5116,46.6507,56.5509,48.4674,43.9051,53.5054,50.3085,52.1134,44.7209,53.5535,46.9755,53.7581,50.8307,49.9608,51.6873,54.6743,57.0512,48.1697,53.827,49.2189,48.5884,47.7268,47.9872,50.2562,47.6216,52.3309,53.299,44.7225,49.1096,56.1358,54.4261,46.8265,44.9683,49.8792,49.5671,39.438,46.4307,49.8938,56.6884,49.5376,43.7391,50.4395,49.0811,64.1297,47.5744,54.4479,42.6704,50.3191,57.717,51.2165,49.5893,47.6241,49.711000000000006,54.6696,55.413000000000004,44.5984,48.4992,50.3885,49.5584,49.7541,41.4927,40.3961,45.0739,44.2996,1.0
