Generation,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,seed_10,seed_11,seed_12,seed_13,seed_14,seed_15,seed_16,seed_17,seed_18,seed_19,seed_20,seed_21,seed_22,seed_23,seed_24,seed_25,seed_26,seed_27,seed_28,seed_29,seed_30,seed_31,seed_32,seed_33,seed_34,seed_35,seed_36,seed_37,seed_38,seed_39,seed_40,seed_41,seed_42,seed_43,seed_44,seed_45,seed_46,seed_47,seed_48,seed_49,seed_50,seed_51,seed_52,seed_53,seed_54,seed_55,seed_56,seed_57,seed_58,seed_59,seed_60,seed_61,seed_62,seed_63,seed_64,seed_65,seed_66,seed_67,seed_68,seed_69,seed_70,seed_71,seed_72,seed_73,seed_74,seed_75,seed_76,seed_77,seed_78,seed_79,seed_80,seed_81,seed_82,seed_83,seed_84,seed_85,seed_86,seed_87,seed_88,seed_89,seed_90,seed_91,seed_92,seed_93,seed_94,seed_95,seed_96,seed_97,seed_98,seed_99,seed_100
0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
1000,9818.22,9809.7,9796.27,9788.42,9805.39,9814.09,9780.27,9787.32,9809.34,9809.57,9813.58,9791.57,9778.66,9785.65,9767.75,9826.73,9810.75,9822.92,9796.91,9803.08,9778.36,9814.19,9835.7,9787.65,9797.97,9781.01,9780.97,9816.79,9798.41,9828.54,9795.66,9797.05,9791.38,9769.18,9806.82,9798.97,9780.72,9850.71,9786.28,9774.29,9807.45,9775.96,9809.36,9792.05,9803.98,9777.7,9778.88,9789.08,9811.67,9770.46,9783.07,9783.52,9787.91,9783.9,9746.69,9795.38,9767.26,9813.81,9742.45,9805.05,9802.21,9814.55,9798.39,9818.59,9780.1,9829.71,9806.23,9776.66,9818.45,9825.11,9839.53,9819.06,9781.98,9787.98,9782.56,9836.04,9774.68,9797.19,9803.66,9763.03,9798.81,9790.86,9767.35,9787.34,9829.4,9785.29,9771.15,9810.62,9812.49,9832.39,9755.38,9783.55,9763.77,9784.29,9813.37,9781.09,9786.95,9811.45,9779.49,9764.86
2000,9585.35,9615.06,9587.97,9610.0,9610.69,9575.57,9573.7,9613.18,9673.97,9631.18,9597.78,9590.98,9585.49,9574.91,9540.65,9623.5,9627.02,9575.04,9600.01,9600.33,9607.66,9610.92,9648.15,9605.76,9582.11,9599.6,9599.47,9587.34,9625.99,9651.11,9619.32,9610.42,9556.24,9551.95,9619.78,9585.89,9597.53,9657.64,9612.49,9546.29,9579.22,9583.4,9606.93,9617.51,9617.01,9574.74,9593.25,9605.14,9577.5,9555.61,9610.8,9603.14,9613.84,9591.28,9523.92,9596.3,9585.03,9619.44,9589.0,9629.37,9606.0,9606.14,9644.99,9633.2,9602.19,9656.05,9613.54,9600.4,9641.05,9652.4,9622.92,9647.5,9597.48,9613.31,9571.42,9616.38,9596.43,9602.08,9608.07,9584.3,9614.25,9556.11,9593.76,9624.19,9606.53,9558.12,9547.14,9628.43,9623.36,9657.42,9531.83,9574.29,9581.45,9584.54,9607.57,9545.6,9578.86,9598.14,9612.17,9539.36
3000,9362.5,9412.96,9378.82,9434.7,9377.35,9366.84,9404.3,9423.37,9433.06,9433.1,9419.25,9377.63,9408.32,9332.8,9326.71,9389.93,9413.02,9365.57,9415.86,9427.62,9386.44,9404.87,9448.29,9421.92,9380.58,9450.65,9384.53,9375.51,9444.57,9422.11,9405.76,9423.25,9334.99,9328.35,9457.45,9385.42,9436.47,9467.38,9407.25,9332.14,9393.06,9382.97,9414.93,9379.92,9435.89,9352.29,9414.12,9401.49,9380.19,9382.21,9405.64,9370.83,9409.76,9422.75,9333.83,9388.16,9332.73,9435.73,9371.68,9387.11,9454.16,9399.66,9476.77,9412.97,9408.93,9472.14,9428.67,9372.79,9464.32,9429.0,9428.55,9417.18,9410.17,9435.2,9387.39,9401.2,9364.97,9393.14,9446.43,9383.02,9450.08,9362.09,9424.85,9435.59,9408.96,9363.41,9373.54,9435.65,9418.3,9423.68,9348.43,9408.61,9371.08,9415.87,9403.15,9325.58,9415.25,9385.63,9424.85,9351.57
4000,9168.56,9173.56,9178.31,9245.22,9159.99,9151.74,9195.16,9229.41,9231.25,9194.96,9225.39,9169.78,9228.43,9110.86,9146.59,9198.01,9247.25,9166.55,9208.16,9209.85,9165.06,9201.76,9258.04,9226.55,9182.83,9240.27,9155.91,9194.21,9237.06,9215.03,9210.57,9208.73,9152.59,9134.23,9248.95,9168.61,9271.47,9280.16,9212.16,9169.07,9189.79,9172.89,9208.07,9218.09,9240.5,9165.21,9225.02,9170.03,9152.86,9182.43,9211.17,9169.77,9220.03,9237.34,9145.86,9175.87,9151.73,9247.63,9170.5,9218.08,9243.86,9204.43,9284.86,9209.11,9247.3,9239.36,9239.77,9185.14,9278.0,9228.08,9243.16,9239.81,9218.84,9233.61,9164.16,9196.74,9184.94,9212.38,9253.85,9153.97,9185.89,9176.81,9254.91,9232.14,9257.68,9171.02,9160.31,9246.36,9223.99,9243.62,9127.0,9201.72,9174.79,9220.21,9195.76,9134.25,9230.17,9178.96,9270.38,9170.31
5000,8986.01,8969.32,8996.07,9093.79,8993.56,8931.3,8992.96,9076.48,9019.02,9005.39,9066.6,9001.63,9014.86,8923.99,8932.93,8980.25,9029.27,8998.68,8966.87,8981.58,8946.51,8954.01,9073.1,9008.22,9002.06,9047.51,8923.41,8997.21,9028.24,9018.88,9019.13,8961.45,8958.0,8948.63,9043.29,8994.72,9068.09,9055.34,8997.59,8969.53,8987.36,8980.28,9044.94,9057.31,9014.04,8952.01,8984.91,9013.62,8962.13,8978.11,9008.13,8986.47,8994.63,8997.46,8953.04,8948.43,8990.91,9045.08,8953.13,8998.84,9071.96,8976.62,9086.67,9006.36,9035.93,9024.86,9051.46,8969.98,9081.52,9053.17,9055.05,9043.39,9033.53,9024.96,8998.52,9013.32,8995.41,8984.39,9039.07,8933.93,8988.79,9017.52,9040.17,9046.21,9033.6,8989.24,8937.71,9089.71,9031.62,9028.84,8884.86,8981.44,8947.4,9036.58,8986.48,8958.39,9076.42,9007.49,9033.44,8984.73
6000,8777.19,8775.26,8782.46,8906.61,8798.56,8749.59,8820.32,8872.06,8813.51,8812.96,8881.72,8786.94,8837.29,8761.28,8732.94,8764.41,8812.1,8845.93,8749.84,8824.84,8765.44,8726.31,8841.97,8828.73,8842.04,8856.66,8686.6,8778.92,8846.91,8852.58,8827.02,8780.03,8744.23,8766.48,8863.54,8832.6,8846.67,8821.16,8835.69,8758.35,8797.9,8773.52,8835.07,8878.76,8801.63,8731.52,8781.5,8777.7,8784.49,8793.59,8860.48,8780.78,8789.21,8832.16,8750.48,8746.79,8782.32,8859.8,8736.2,8784.01,8882.01,8766.84,8901.51,8807.73,8869.66,8851.75,8846.27,8771.56,8889.85,8835.98,8851.45,8861.63,8865.49,8832.28,8795.49,8814.14,8793.71,8781.09,8834.23,8752.51,8792.49,8857.98,8865.49,8861.49,8799.84,8785.42,8759.95,8890.08,8848.19,8810.53,8684.11,8794.32,8773.3,8802.6,8800.57,8759.21,8876.63,8813.17,8821.95,8779.22
7000,8581.77,8578.71,8566.85,8690.28,8632.26,8553.43,8670.82,8669.65,8608.89,8602.22,8721.38,8597.14,8648.8,8570.21,8527.45,8554.08,8594.15,8668.21,8572.24,8600.04,8544.71,8537.39,8655.49,8675.95,8605.9,8633.58,8484.24,8590.48,8638.96,8628.28,8661.53,8572.58,8535.61,8588.69,8672.11,8635.29,8646.12,8662.06,8635.16,8577.86,8628.91,8571.94,8615.0,8673.18,8586.46,8548.75,8609.88,8596.0,8600.91,8610.73,8642.05,8554.33,8587.09,8597.23,8566.1,8533.54,8595.32,8690.56,8543.85,8596.11,8693.0,8565.96,8713.75,8581.64,8656.4,8642.12,8591.88,8604.91,8706.57,8603.74,8674.03,8664.52,8678.32,8612.91,8596.2,8615.53,8617.51,8538.39,8625.42,8597.3,8583.8,8627.82,8675.01,8644.56,8594.65,8595.02,8575.86,8686.23,8615.92,8615.25,8465.83,8570.87,8547.39,8608.14,8592.07,8543.08,8712.19,8618.46,8613.13,8596.56
8000,8401.11,8383.73,8380.94,8470.37,8458.08,8399.93,8466.14,8486.56,8368.69,8393.6,8532.31,8457.57,8433.2,8376.63,8309.86,8339.79,8386.18,8479.31,8367.74,8406.64,8346.78,8354.01,8429.11,8522.11,8398.16,8426.66,8268.65,8371.22,8447.03,8419.53,8513.26,8381.52,8339.24,8369.96,8500.26,8463.23,8455.28,8468.67,8442.98,8391.71,8406.41,8352.42,8421.48,8462.61,8396.65,8360.03,8411.95,8409.34,8404.93,8435.86,8470.38,8361.21,8383.64,8439.03,8353.72,8344.63,8375.74,8458.78,8362.4,8401.37,8461.57,8361.04,8504.12,8384.52,8477.37,8447.03,8379.47,8372.75,8482.59,8387.5,8505.02,8490.58,8499.04,8411.8,8395.78,8411.19,8405.7,8314.14,8410.07,8380.89,8379.62,8429.59,8464.65,8434.32,8432.0,8324.5,8375.53,8459.71,8399.72,8441.72,8271.9,8336.28,8353.93,8400.91,8404.64,8328.06,8496.3,8455.23,8446.62,8405.91
9000,8156.57,8158.3,8172.07,8262.62,8246.23,8228.5,8280.67,8328.26,8139.8,8198.78,8331.89,8281.91,8204.13,8176.65,8128.05,8181.87,8172.58,8314.21,8158.56,8200.75,8177.81,8144.61,8222.84,8307.57,8205.39,8252.9,8061.75,8157.15,8266.76,8239.3,8338.64,8197.27,8113.2,8166.68,8296.25,8237.7,8262.14,8251.53,8236.94,8174.72,8230.54,8142.49,8200.12,8289.97,8212.16,8146.13,8240.61,8216.84,8202.16,8247.89,8253.57,8185.56,8202.65,8299.31,8146.72,8130.66,8182.12,8249.79,8203.09,8231.33,8292.79,8151.21,8289.31,8203.61,8311.64,8203.16,8193.23,8207.52,8317.61,8193.21,8283.73,8294.63,8299.17,8227.51,8157.55,8212.23,8216.66,8131.45,8195.74,8205.3,8143.57,8278.65,8272.83,8202.02,8241.89,8109.36,8193.14,8261.33,8190.73,8219.43,8068.1,8161.42,8190.09,8217.24,8222.42,8095.73,8348.8,8296.86,8211.69,8216.84
