Generation,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100,pop
0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,100
3000,8348.97,8382.18,8407.5,8420.26,8415.36,8395.2,8370.38,8397.14,8399.05,8435.51,8362.93,8392.44,8379.45,8347.87,8380.35,8384.73,8416.78,8366.67,8420.87,8411.84,8399.4,8409.85,8378.53,8405.29,8380.69,8400.31,8407.48,8394.46,8410.13,8430.96,8385.9,8361.69,8353.11,8382.56,8394.31,8400.04,8380.39,8362.14,8349.18,8390.85,8425.26,8357.75,8382.67,8379.38,8382.99,8400.62,8361.27,8431.68,8358.79,8368.32,8380.8,8397.06,8381.77,8434.52,8380.23,8352.69,8392.78,8384.37,8385.33,8386.91,8344.15,8368.02,8402.09,8399.26,8394.05,8370.99,8374.78,8363.54,8415.15,8364.46,8373.97,8338.8,8417.39,8385.15,8395.29,8370.2,8395.01,8398.54,8368.94,8385.24,8398.86,8363.99,8383.17,8394.72,8375.48,8367.23,8414.58,8387.15,8394.47,8358.81,8373.05,8415.36,8384.39,8383.98,8388.59,8411.48,8360.08,8398.26,8358.3,8387.34,100
6000,6755.95,6825.29,6835.68,6804.44,6813.84,6835.53,6798.42,6791.16,6765.41,6851.22,6818.94,6788.14,6775.85,6792.28,6782.45,6780.65,6844.53,6753.7,6822.04,6817.19,6849.35,6845.46,6820.15,6792.44,6799.5,6786.83,6806.32,6803.75,6850.28,6926.88,6776.17,6801.68,6773.51,6738.57,6833.95,6833.41,6808.7,6797.69,6767.12,6773.07,6808.4,6812.5,6789.18,6825.46,6792.67,6845.95,6782.99,6875.94,6788.76,6746.08,6786.04,6820.55,6800.32,6884.95,6836.74,6722.39,6798.37,6820.54,6778.5,6766.24,6746.76,6804.03,6865.35,6813.56,6809.06,6815.45,6824.69,6806.16,6904.76,6817.55,6756.74,6746.23,6842.59,6826.62,6810.73,6745.61,6835.83,6836.15,6742.84,6793.64,6787.48,6792.31,6866.43,6839.58,6810.29,6774.07,6803.67,6798.1,6819.26,6804.22,6784.42,6837.74,6782.89,6808.97,6795.31,6865.25,6783.63,6816.96,6762.53,6823.59,100
9000,5220.46,5274.57,5270.38,5252.82,5242.24,5322.6,5241.37,5275.87,5225.08,5327.34,5292.56,5274.75,5266.72,5285.32,5234.87,5237.58,5332.8,5213.32,5276.68,5286.79,5320.81,5311.63,5256.5,5248.86,5255.08,5242.33,5282.99,5296.59,5334.53,5379.11,5227.6,5288.78,5275.47,5193.36,5295.68,5256.85,5268.25,5260.1,5226.33,5253.35,5281.49,5286.74,5263.25,5277.56,5256.4,5319.18,5220.46,5405.52,5244.25,5181.45,5213.01,5257.33,5228.8,5389.26,5299.06,5170.92,5265.76,5319.09,5279.75,5276.03,5225.14,5244.06,5352.85,5292.6,5270.13,5241.81,5257.52,5225.24,5370.37,5260.36,5265.51,5244.11,5322.24,5306.67,5284.52,5253.5,5254.55,5290.48,5235.66,5289.48,5275.94,5291.97,5322.0,5311.07,5306.66,5242.46,5250.3,5307.07,5297.19,5281.45,5211.3,5341.62,5243.05,5275.18,5223.11,5344.09,5233.17,5279.04,5241.89,5294.37,100
12000,3896.53,3834.89,3888.82,3854.74,3876.15,3909.74,3912.66,3907.54,3890.04,3915.16,3853.65,3886.85,3913.89,3879.79,3850.73,3866.35,3920.42,3822.29,3887.79,3883.7,3980.88,3916.63,3870.94,3833.48,3860.83,3844.72,3911.4,3935.69,3964.8,3989.31,3800.74,3912.44,3912.64,3785.19,3881.66,3856.43,3854.14,3881.92,3812.69,3849.49,3820.69,3934.89,3853.46,3886.38,3862.91,3925.3,3855.45,3978.78,3870.0,3780.87,3819.73,3883.01,3829.16,4014.54,3919.66,3800.48,3827.43,3956.46,3902.93,3898.39,3792.54,3825.33,3934.51,3919.96,3934.99,3844.04,3872.15,3841.67,3973.63,3916.07,3900.46,3898.03,3934.3,3919.29,3902.46,3857.96,3813.41,3893.8,3870.67,3880.98,3921.89,3926.14,3945.26,3934.21,3908.4,3850.99,3869.49,3908.85,3900.29,3856.48,3812.37,3935.42,3834.61,3909.41,3842.93,3934.9,3841.38,3880.71,3878.82,3879.16,100
15000,2525.2,2491.58,2599.54,2539.22,2526.82,2551.3,2611.09,2610.03,2558.28,2574.83,2532.68,2510.19,2572.18,2530.7,2542.16,2515.09,2585.36,2434.15,2519.64,2554.97,2652.19,2624.22,2523.62,2517.36,2584.13,2504.45,2577.04,2572.87,2590.44,2650.62,2467.36,2591.68,2602.94,2469.38,2603.72,2494.11,2529.16,2501.14,2487.58,2533.48,2514.5,2621.63,2567.86,2504.47,2541.81,2592.5,2566.75,2667.53,2509.06,2404.99,2505.49,2550.1,2469.72,2653.48,2597.19,2440.88,2496.97,2617.96,2551.18,2531.39,2453.57,2474.33,2595.06,2579.81,2553.99,2463.91,2544.21,2506.26,2614.91,2593.06,2545.27,2570.31,2571.52,2548.94,2548.37,2529.35,2452.76,2620.7,2532.89,2539.61,2525.5,2611.19,2634.61,2600.28,2560.49,2534.13,2549.83,2536.86,2523.08,2537.53,2495.76,2590.51,2486.22,2569.15,2525.87,2630.47,2489.95,2528.69,2569.02,2557.06,100
18000,1302.43,1284.47,1336.48,1297.77,1240.48,1258.06,1306.07,1283.87,1305.59,1331.28,1301.6,1243.36,1302.64,1307.39,1285.47,1255.78,1343.79,1219.22,1285.44,1274.81,1437.0,1246.27,1316.71,1259.29,1306.02,1222.18,1329.46,1322.46,1306.22,1369.91,1219.21,1340.67,1361.38,1275.59,1306.04,1298.17,1274.73,1211.3,1290.86,1262.9,1294.09,1350.91,1237.58,1231.73,1258.18,1359.34,1394.8,1378.29,1255.34,1168.55,1299.75,1316.45,1209.49,1325.08,1356.43,1196.37,1269.92,1377.28,1340.47,1244.8,1161.29,1238.24,1340.14,1311.51,1286.85,1281.5,1264.55,1265.01,1417.97,1329.87,1246.6,1308.9,1356.63,1270.92,1210.67,1243.45,1240.05,1320.3,1292.88,1289.72,1294.42,1359.95,1378.98,1357.24,1319.41,1223.39,1284.2,1193.89,1222.49,1297.55,1287.43,1359.87,1272.81,1313.56,1297.29,1375.98,1195.6,1253.74,1341.73,1312.69,100
21000,403.85699999999997,466.184,416.606,448.465,367.856,347.335,396.718,454.708,435.281,462.469,452.32300000000004,439.05699999999996,407.589,479.094,445.495,437.914,453.88199999999995,368.681,392.694,398.25300000000004,491.67,355.616,389.35900000000004,396.975,462.416,386.69699999999995,444.283,418.73900000000003,453.921,444.167,416.147,471.64300000000003,453.97900000000004,338.02,403.33,412.251,380.98,393.838,444.816,434.892,461.99,464.19800000000004,372.329,367.158,378.278,495.67199999999997,492.587,438.342,407.60699999999997,342.85699999999997,466.74800000000005,440.10400000000004,326.046,361.798,404.838,347.404,422.17800000000005,461.436,433.898,386.936,349.86800000000005,327.728,483.264,426.43199999999996,428.548,366.285,448.23900000000003,340.288,553.674,449.745,362.835,440.983,412.096,415.92199999999997,365.06,397.171,406.444,411.58099999999996,420.969,431.55800000000005,470.45,483.441,465.088,439.0,410.43800000000005,414.595,423.195,333.875,433.8,404.38300000000004,456.51199999999994,502.805,385.293,406.171,411.62300000000005,450.91,423.467,414.69,430.652,416.527,100
24000,96.5632,112.085,109.83200000000001,95.0565,102.40299999999999,81.5304,93.3358,116.87799999999999,93.6778,124.77600000000001,79.0976,115.28200000000001,72.6647,136.836,95.4624,109.337,85.1521,82.2502,86.4378,121.64,132.30100000000002,81.7043,91.0858,116.07799999999999,118.601,89.0966,93.262,89.8531,106.70200000000001,103.97,110.73200000000001,104.959,91.7365,84.3561,92.1118,73.627,72.9605,105.194,117.40299999999999,111.97399999999999,117.01,129.815,104.399,113.618,82.4175,139.733,118.432,108.53399999999999,91.51700000000001,81.3779,111.182,99.7976,80.9368,93.9839,84.3224,76.374,96.7076,120.975,104.271,87.2954,83.9392,80.9569,141.871,93.45200000000001,106.324,69.9767,87.4825,77.0667,148.314,132.561,75.3102,111.723,99.4231,111.178,83.7465,81.0806,77.3374,132.321,97.258,99.4315,104.665,150.44799999999998,112.986,114.835,99.0844,115.054,105.726,62.8138,141.836,98.4632,115.704,152.4,79.5465,84.9915,99.7163,118.01700000000001,96.1481,110.405,124.18799999999999,122.613,100
27000,55.582,58.8708,56.4876,57.0631,56.858999999999995,54.9846,54.9863,59.1762,55.2002,58.5347,57.4175,63.0483,51.5352,65.249,53.8354,59.0719,58.8085,64.8734,61.3244,64.2605,65.4263,59.3592,56.9517,65.7494,67.1121,63.4217,59.0268,54.2812,60.7506,57.217,60.7366,63.4861,59.2609,71.9592,55.9317,60.4773,53.3094,59.2263,58.4625,60.1854,61.29600000000001,55.08,59.4725,57.5535,58.4728,59.3131,54.7478,54.6574,57.4262,58.5838,57.2551,63.7423,60.4816,71.2566,52.0554,59.2642,51.6825,68.4406,57.1129,60.9943,53.4708,62.3898,61.7028,59.6588,55.1924,57.1001,64.7756,54.7313,67.0817,59.9549,56.3454,57.9281,57.266000000000005,65.6073,58.5599,61.016999999999996,56.5696,60.7844,63.8928,54.5404,61.0731,58.4111,57.0229,63.2716,56.7671,61.8387,61.9006,56.7903,62.6233,58.4265,57.2903,62.5318,58.3179,56.1641,55.9779,55.997,54.103,57.1326,66.0396,62.3573,100
