Generation,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100,pop
0,10,10,10,9,9,10,10,9,10,10,10,8,9,10,9,10,10,10,9,9,9,8,10,8,9,10,9,9,10,10,9,9,8,9,9,8,10,9,9,10,8,10,7,9,10,8,9,9,10,8,10,8,9,9,10,10,9,10,9,7,10,10,9,10,10,7,10,10,8,9,9,9,9,10,10,8,10,10,8,9,9,10,9,10,10,10,9,10,9,10,9,10,10,10,8,10,10,10,9,10,10
1,10,10,10,9,9,10,10,9,10,10,9,9,10,10,7,9,7,7,7,7,9,10,10,7,8,9,7,9,8,10,8,6,9,9,8,10,10,7,8,7,7,9,8,9,8,9,7,9,10,8,9,8,10,10,8,7,7,8,8,7,8,8,8,9,10,10,10,8,8,9,10,9,10,9,10,9,9,8,8,9,8,10,8,9,8,8,10,7,9,9,10,10,10,9,9,8,9,9,9,10,10
2,9,10,8,9,8,7,10,10,10,10,10,7,8,9,10,8,10,10,7,7,9,9,8,8,9,8,9,8,7,9,8,9,8,9,10,10,10,8,9,10,8,9,9,9,10,9,8,10,9,9,7,9,9,7,9,8,9,9,10,9,8,9,9,6,7,8,9,8,10,8,10,8,10,9,9,8,10,10,10,9,7,9,10,8,9,8,10,8,8,9,8,8,8,7,8,9,9,10,8,7,10
3,8,9,9,9,8,8,8,10,9,6,10,8,8,8,10,9,9,9,7,10,9,10,10,7,9,9,10,10,10,8,8,8,9,8,9,9,10,9,9,10,10,9,10,9,10,10,9,10,9,9,9,9,9,10,10,9,8,8,9,10,9,6,10,8,8,10,9,9,9,9,9,7,7,9,9,8,6,9,8,10,8,10,10,10,9,8,9,8,7,10,10,10,10,9,8,9,7,8,9,10,10
4,6,7,8,8,6,8,9,10,9,8,10,10,9,10,7,8,10,8,8,9,7,10,9,8,9,9,9,9,9,10,9,10,10,10,10,8,8,10,10,10,9,9,10,10,7,9,10,10,9,8,8,8,9,9,8,10,9,9,9,10,7,9,10,10,9,8,10,10,9,10,9,10,10,9,8,9,6,9,8,9,9,9,9,8,9,8,10,10,8,8,8,10,8,9,9,10,10,5,8,10,10
5,10,9,9,9,9,8,9,9,10,9,8,9,10,8,10,10,10,9,8,9,7,9,10,10,9,9,9,9,7,9,10,10,10,8,8,10,9,8,7,8,9,8,10,8,10,10,10,8,8,9,9,8,9,10,7,9,9,7,8,9,10,9,8,10,9,7,8,8,9,10,10,9,6,8,8,10,8,10,7,5,8,8,8,10,10,6,9,7,9,9,9,10,8,8,9,6,10,9,9,9,10
6,9,10,9,9,9,8,9,10,7,9,10,10,8,5,8,8,10,10,8,9,9,9,10,9,9,9,9,10,9,8,9,8,7,10,10,9,8,10,10,10,9,10,10,9,6,10,10,10,8,10,9,9,9,8,10,10,9,6,6,7,7,8,9,10,9,8,9,10,10,8,10,10,9,9,9,8,9,9,9,9,9,10,9,9,9,9,9,10,9,10,8,9,7,9,9,8,8,10,8,9,10
7,10,7,9,6,10,10,8,9,8,10,8,10,9,7,8,10,9,8,9,8,8,9,9,8,9,8,9,9,10,8,9,10,10,8,8,10,10,9,9,9,9,8,10,10,9,8,8,9,8,10,7,9,10,8,10,8,8,8,10,8,9,10,10,9,9,10,9,9,7,7,9,10,9,9,10,8,10,6,9,10,9,7,10,9,7,9,10,9,9,9,9,9,9,10,10,9,7,9,8,8,10
8,8,9,8,9,9,9,9,9,7,9,10,9,9,8,9,9,10,8,9,8,8,9,9,9,7,8,9,8,9,9,10,10,10,10,10,10,9,8,8,8,7,9,10,6,8,9,9,8,10,9,9,8,9,9,10,8,9,9,8,8,9,7,9,10,10,9,10,9,8,8,8,10,10,10,9,9,10,9,9,10,9,10,9,10,7,7,10,8,9,8,8,9,9,10,9,10,10,10,8,8,10
9,6,7,8,10,10,10,10,10,9,8,9,9,8,8,10,9,9,9,10,9,9,10,10,9,10,7,10,10,7,10,10,10,9,9,8,10,8,9,8,8,8,9,9,9,7,8,10,10,10,7,8,9,10,8,10,10,10,9,9,7,10,9,6,10,8,9,8,10,9,8,7,9,10,10,9,10,10,8,8,10,10,9,7,9,8,9,9,8,9,10,6,8,6,10,8,9,9,9,7,9,10
