Generation,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100,pop,gen
0,93,95,92,91,92,94,95,95,96,88,91,95,97,93,92,93,96,96,87,91,91,92,93,96,93,92,93,94,90,96,92,92,88,94,89,98,90,96,87,92,92,92,94,91,95,95,91,92,92,93,97,94,96,96,86,92,94,97,93,89,94,90,90,91,96,96,91,91,92,97,94,93,91,94,89,94,94,94,88,93,94,89,93,87,95,96,87,91,89,93,93,89,96,91,94,93,91,95,90,91,100,0
1,84,89,82,85,89,83,84,87,88,90,84,88,88,83,84,87,80,83,83,83,86,88,90,82,86,84,88,89,89,81,91,90,88,85,85,90,83,85,91,87,83,92,88,85,86,80,86,90,78,87,88,81,83,90,94,85,91,86,90,85,91,91,84,82,81,87,93,90,91,84,91,87,88,89,82,86,91,85,82,82,91,89,82,84,93,87,90,91,86,86,86,85,91,87,90,88,85,89,91,81,100,1000
2,86,89,90,86,83,92,88,87,89,89,90,88,88,83,75,85,85,86,90,88,86,90,91,91,84,90,87,90,89,93,86,86,96,91,91,89,88,87,84,89,86,89,90,88,86,91,87,83,90,86,84,97,85,85,89,87,90,81,89,90,84,88,83,89,91,89,83,87,90,84,92,86,86,84,89,84,89,92,88,87,87,83,82,95,93,92,86,89,89,89,83,84,90,94,91,85,85,84,82,85,100,2000
3,84,92,86,88,87,90,84,86,90,87,90,94,91,88,86,80,84,85,92,87,86,86,92,87,85,92,83,90,77,79,86,90,80,88,90,89,86,87,83,87,87,83,93,91,89,89,83,87,80,92,91,88,90,86,90,81,89,86,84,85,92,86,87,85,84,87,84,82,89,84,89,88,86,87,86,84,92,95,82,88,84,89,83,92,90,86,90,88,93,86,88,81,88,93,87,94,87,88,88,87,100,3000
4,76,93,89,88,83,84,92,90,88,87,87,90,86,85,89,86,89,88,88,82,87,86,92,89,83,80,87,95,88,87,85,88,85,92,89,83,88,86,81,90,84,86,89,88,85,84,92,86,83,94,84,88,85,84,83,89,93,88,79,86,93,94,86,83,88,92,84,86,84,88,87,86,84,83,90,84,88,87,86,86,95,88,89,84,91,88,87,84,80,90,84,85,88,82,81,88,83,88,82,89,100,4000
5,86,88,86,94,86,92,83,87,84,90,84,88,91,91,89,87,86,81,88,91,88,85,89,92,84,89,87,87,88,85,86,81,90,84,89,89,83,88,93,86,92,83,91,93,91,93,87,91,87,85,87,83,82,87,82,82,86,82,84,87,83,87,81,87,87,75,89,83,91,87,86,87,85,78,86,81,83,89,88,81,84,84,84,87,90,91,86,88,80,86,82,92,82,87,90,88,85,90,80,80,100,5000
6,81,79,79,81,83,82,91,85,82,87,90,82,90,92,87,93,87,90,91,90,85,91,88,83,91,91,90,81,87,83,87,88,96,86,89,89,90,88,86,78,84,82,82,81,91,88,95,86,87,85,88,81,85,86,86,94,90,90,85,89,88,87,89,87,83,84,81,89,80,88,88,85,91,92,88,90,87,82,89,94,86,86,82,87,93,86,88,89,91,89,87,85,90,83,84,91,90,85,85,84,100,6000
7,86,85,83,86,86,85,88,84,87,89,84,87,84,77,86,90,90,92,94,86,88,85,88,91,90,90,87,85,89,86,93,85,90,85,79,87,81,88,90,83,90,90,79,81,86,87,89,87,86,84,84,89,83,88,88,88,84,88,87,83,90,89,87,86,82,87,81,87,92,96,90,80,78,87,84,84,85,86,85,85,82,85,85,85,84,88,86,94,88,90,82,82,91,85,86,90,83,80,87,90,100,7000
8,90,86,83,86,88,94,87,81,84,82,88,89,87,88,91,88,87,83,80,90,82,87,82,82,90,88,88,94,86,90,96,87,84,93,85,86,88,87,88,85,88,84,89,88,88,89,88,86,87,86,93,85,87,84,87,84,90,94,85,88,89,89,85,83,86,87,84,87,86,91,79,92,84,81,92,94,79,89,86,86,86,87,90,79,91,92,80,86,90,90,86,86,89,95,87,89,83,92,87,89,100,8000
9,91,84,89,83,88,92,86,92,91,81,89,86,90,82,86,91,92,89,85,87,81,93,92,79,91,85,84,84,90,91,86,92,91,89,90,88,92,90,85,96,87,79,77,85,89,85,88,83,85,88,89,90,92,92,82,89,83,88,88,86,89,85,85,85,89,86,85,86,87,93,79,91,86,89,87,93,89,90,81,88,87,88,80,85,91,85,85,94,84,87,90,84,88,86,88,89,89,85,88,87,100,9000
