Generation,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100,pop
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,500
3000,428,437,430,433,432,424,423,430,436,441,435,427,451,433,423,415,439,421,437,430,431,421,427,435,431,434,430,429,437,412,441,432,448,439,435,431,419,438,427,426,438,430,430,425,434,424,427,442,432,431,433,435,430,423,426,416,433,419,423,417,423,413,433,435,427,426,423,428,430,431,421,433,426,444,426,446,431,430,423,437,428,435,436,422,424,441,430,440,415,434,421,440,425,429,434,431,430,430,423,423,500
6000,447,431,411,444,450,433,426,425,430,429,437,436,440,432,447,426,432,440,433,422,433,435,433,432,433,448,451,437,443,431,421,425,431,439,425,429,427,442,419,437,441,439,434,438,422,434,426,424,439,431,434,451,444,441,426,433,434,437,430,435,443,443,434,420,433,437,419,427,429,424,455,437,431,438,447,438,431,434,427,428,444,436,432,427,418,441,443,435,431,435,441,454,432,436,429,441,438,428,436,429,500
9000,432,438,433,423,429,426,452,450,432,427,430,436,439,438,446,439,428,444,434,429,447,428,436,442,433,451,427,432,433,430,438,453,434,429,430,442,434,431,441,437,442,425,443,433,432,452,446,428,428,427,443,433,433,435,437,438,430,431,436,442,434,438,446,440,440,423,437,429,431,432,429,434,427,427,434,448,434,426,441,436,435,430,437,448,421,419,428,448,437,418,438,426,439,429,436,438,443,432,445,431,500
12000,447,444,429,436,427,439,450,441,427,420,436,425,432,427,424,430,441,434,434,430,430,417,442,428,448,434,435,439,422,442,428,422,439,431,432,428,440,430,431,430,435,445,435,446,440,419,441,433,441,424,425,429,436,432,436,426,428,437,433,438,440,429,435,434,448,426,429,436,432,437,442,443,420,437,428,431,426,434,447,440,446,424,438,426,438,425,418,430,424,424,436,445,434,427,435,428,420,427,420,429,500
15000,452,424,429,438,426,440,445,427,440,434,424,436,441,437,436,437,432,420,433,421,427,430,433,435,420,442,432,445,434,430,447,431,430,429,421,426,436,432,423,448,434,434,432,435,438,430,432,440,428,429,427,421,428,429,432,425,428,446,430,416,433,444,440,429,428,434,430,433,446,437,437,434,453,432,413,420,422,427,434,442,441,448,432,448,447,438,422,430,443,431,434,432,427,445,428,445,441,436,439,434,500
18000,427,435,448,432,415,430,430,438,435,433,405,430,429,424,438,424,433,446,421,426,439,424,432,423,436,433,436,433,426,426,452,414,420,426,421,440,440,432,426,427,428,432,437,427,433,431,442,429,425,437,436,434,431,449,419,440,431,429,421,420,445,426,418,419,423,436,442,434,436,422,427,426,432,445,443,432,437,425,448,422,430,440,419,445,426,443,439,438,437,430,430,418,431,433,440,432,423,429,417,431,500
21000,430,418,427,432,438,430,444,424,431,432,425,434,423,439,440,427,429,423,439,429,417,433,429,418,431,431,417,415,433,424,440,423,445,428,434,435,430,438,439,436,442,437,432,416,430,431,427,423,433,435,417,443,419,437,432,429,437,418,447,429,437,411,438,442,441,421,420,439,420,451,432,417,416,421,439,430,426,440,424,429,432,434,437,429,425,428,437,420,415,427,434,434,436,432,435,429,424,427,427,434,500
24000,423,438,437,416,427,426,424,437,421,426,417,427,420,421,438,435,423,431,424,434,427,416,440,417,426,435,428,427,438,426,427,438,416,423,426,424,430,421,417,426,430,421,419,426,417,440,420,431,429,425,431,420,413,433,420,438,423,442,420,432,435,430,428,420,421,412,432,432,438,424,420,422,407,423,426,424,432,420,438,420,443,431,434,419,422,428,428,421,419,425,425,423,425,416,416,432,427,431,419,428,500
27000,408,426,422,411,429,439,434,423,422,428,434,412,417,428,445,418,421,422,433,423,427,420,404,444,417,420,439,421,419,429,426,427,419,427,423,426,423,431,434,427,421,427,436,419,417,413,433,439,421,438,426,432,432,413,427,442,413,436,428,438,427,414,425,431,407,435,433,421,431,424,434,440,419,424,428,419,424,421,439,424,437,433,431,434,420,425,437,399,429,425,428,415,426,416,412,409,436,437,423,428,500
30000,437,420,418,424,417,433,423,419,426,432,422,447,410,420,423,417,403,423,432,417,417,417,415,429,426,431,417,428,428,420,428,430,432,431,429,412,425,413,418,427,427,444,428,432,431,424,426,425,432,404,420,426,429,445,424,438,420,436,431,433,425,417,432,420,419,422,423,413,433,440,427,437,428,434,412,424,416,429,430,436,423,423,426,448,423,443,421,422,431,429,412,426,437,427,414,427,430,421,410,424,500
33000,433,430,429,423,422,427,426,426,434,422,432,430,433,404,415,420,433,422,414,423,428,436,415,404,423,418,434,418,434,429,426,432,434,414,424,430,418,433,435,439,415,417,422,416,427,432,438,435,425,439,440,413,417,435,419,427,427,419,422,428,435,415,426,418,421,434,417,423,435,442,435,425,440,428,421,429,426,417,413,423,428,428,411,440,417,414,423,441,418,424,437,425,424,427,434,434,437,429,423,427,500
36000,429,420,429,431,421,429,440,423,444,421,425,424,430,435,412,438,433,431,424,426,424,416,422,427,422,419,442,424,422,439,423,429,423,421,433,445,425,423,427,423,418,415,431,430,419,431,424,413,433,428,428,412,408,426,437,442,438,434,431,435,413,419,420,441,422,421,430,420,416,415,434,422,425,421,445,425,419,422,421,422,428,427,437,443,426,426,429,413,435,413,424,424,428,431,420,421,430,433,428,430,500
39000,423,426,438,425,435,432,419,433,427,428,410,422,435,417,420,437,422,421,444,431,428,434,441,432,428,424,417,434,436,432,430,429,413,407,443,424,424,425,407,444,426,407,431,411,422,440,441,413,425,426,416,417,423,424,427,431,421,430,431,414,428,425,428,427,424,428,413,432,429,425,425,419,425,445,424,424,415,426,423,425,428,433,430,438,424,412,428,407,432,436,407,427,414,425,442,423,441,430,429,436,500
42000,430,417,427,424,441,435,419,414,442,426,422,413,422,420,428,438,427,431,436,437,427,443,437,433,407,432,413,423,426,422,427,425,431,410,432,441,410,431,436,412,429,419,416,437,424,432,420,414,422,434,427,434,422,413,433,424,437,416,430,422,426,420,435,412,432,425,430,430,415,430,425,433,426,427,432,428,417,422,419,430,436,430,422,434,433,420,434,427,412,423,430,418,427,411,424,419,419,435,415,423,500
