Generation,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100,pop
0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,1000
1500,3330.18,3339.88,3330.89,3288.51,3311.35,3348.96,3279.9,3383.58,3318.8,3303.07,3280.65,3278.84,3248.57,3345.26,3320.05,3266.19,3334.93,3366.06,3303.24,3324.86,3367.55,3285.65,3334.38,3299.72,3279.87,3344.07,3273.71,3337.99,3248.32,3315.37,3315.42,3344.63,3369.66,3345.11,3270.97,3277.4,3316.58,3303.4,3309.1,3284.64,3352.72,3354.43,3319.89,3323.83,3287.96,3249.88,3256.64,3318.06,3260.68,3310.42,3350.33,3357.72,3333.99,3307.21,3317.18,3328.78,3256.34,3318.62,3300.04,3307.16,3288.3,3282.09,3332.76,3314.15,3270.83,3313.18,3262.67,3286.84,3327.12,3307.56,3342.26,3327.08,3324.22,3329.84,3256.62,3311.24,3345.9,3328.97,3299.16,3330.13,3294.18,3316.86,3257.22,3360.32,3313.48,3325.36,3299.9,3294.74,3339.66,3246.67,3313.57,3295.22,3299.25,3342.55,3298.58,3292.36,3357.15,3270.54,3291.69,3292.51,1000
3000,0.772642,0.761491,0.813495,0.81567,0.75567,0.8752489999999999,0.850368,0.7481270000000001,0.817479,0.826492,0.8561629999999999,0.7942170000000001,0.774551,0.7700020000000001,0.880885,0.888814,0.844197,0.8091689999999999,0.7568779999999999,0.80852,0.801597,0.820728,0.735436,0.817513,0.790844,0.821116,0.812715,0.7408060000000001,0.842835,0.82758,0.789652,0.8561139999999999,0.826976,0.8252360000000001,0.805449,0.869778,0.8211940000000001,0.769914,0.809553,0.766526,0.8109430000000001,0.7910659999999999,0.791199,0.814628,0.8361129999999999,0.794588,0.8233540000000001,0.8271649999999999,0.8227959999999999,0.806855,0.7872979999999999,0.7884770000000001,0.846915,0.8153520000000001,0.8343379999999999,0.8075479999999999,0.7976880000000001,0.761442,0.8549629999999999,0.769716,0.798718,0.781596,0.773883,0.818479,0.799646,0.7897029999999999,0.7777149999999999,0.792459,0.765155,0.81391,0.816583,0.840094,0.772195,0.7409939999999999,0.8107989999999999,0.8216620000000001,0.8149810000000001,0.793737,0.775516,0.815144,0.757825,0.806521,0.773917,0.810242,0.833182,0.74875,0.7672680000000001,0.844765,0.766293,0.797896,0.824788,0.8474879999999999,0.798127,0.78856,0.773691,0.820883,0.802535,0.766826,0.756876,0.765491,1000
4500,0.7264470000000001,0.70904,0.7511680000000001,0.753744,0.7327600000000001,0.742454,0.741123,0.7412890000000001,0.730363,0.724022,0.74454,0.7055680000000001,0.722053,0.7282270000000001,0.724356,0.7049979999999999,0.779506,0.741825,0.7080890000000001,0.698887,0.7490060000000001,0.719959,0.741279,0.779271,0.755516,0.745412,0.749631,0.7564770000000001,0.768884,0.72969,0.8191229999999999,0.7367560000000001,0.765292,0.713763,0.72337,0.7102569999999999,0.764917,0.7672800000000001,0.702472,0.76275,0.715543,0.705106,0.6951649999999999,0.7253430000000001,0.767883,0.704462,0.704904,0.752058,0.686053,0.75581,0.696638,0.739708,0.780025,0.697508,0.678537,0.760571,0.766832,0.694288,0.741352,0.725114,0.698512,0.7139989999999999,0.701975,0.714226,0.699983,0.717504,0.702174,0.723173,0.7695850000000001,0.7474649999999999,0.699495,0.7489680000000001,0.784201,0.740767,0.7234119999999999,0.735178,0.704708,0.684013,0.81571,0.7097479999999999,0.722352,0.72639,0.763668,0.762702,0.726738,0.792024,0.713389,0.7841090000000001,0.723144,0.782415,0.751429,0.711603,0.70421,0.747967,0.689017,0.726159,0.739835,0.695581,0.71302,0.735583,1000
6000,0.702936,0.750617,0.720785,0.7304,0.72635,0.727488,0.746132,0.7318100000000001,0.765954,0.68534,0.744121,0.7407050000000001,0.680934,0.718354,0.667899,0.728201,0.685267,0.760692,0.740976,0.691261,0.723803,0.6982689999999999,0.7233890000000001,0.6653060000000001,0.7409319999999999,0.717013,0.764742,0.752472,0.764551,0.70912,0.72551,0.737216,0.757466,0.7568060000000001,0.750955,0.727937,0.746189,0.709413,0.682561,0.684404,0.756732,0.694659,0.742576,0.712446,0.700537,0.7999189999999999,0.8081649999999999,0.743172,0.686646,0.758117,0.776339,0.684238,0.727654,0.680639,0.723436,0.703696,0.738794,0.679538,0.713933,0.800218,0.7784439999999999,0.696603,0.753831,0.670964,0.698955,0.717724,0.667196,0.724659,0.785838,0.741727,0.7006439999999999,0.680016,0.705592,0.689565,0.676509,0.7760640000000001,0.760452,0.707915,0.703539,0.735854,0.801341,0.8192860000000001,0.748218,0.721942,0.703281,0.736921,0.73848,0.744021,0.698902,0.7636310000000001,0.727395,0.75646,0.7225739999999999,0.725763,0.768267,0.7330399999999999,0.708573,0.77978,0.7671640000000001,0.706378,1000
7500,0.6907439999999999,0.704012,0.701447,0.701548,0.7423109999999999,0.789405,0.751384,0.778219,0.6916260000000001,0.716033,0.731496,0.662914,0.741308,0.667355,0.754975,0.7287520000000001,0.692597,0.699368,0.714645,0.702743,0.709065,0.766899,0.708992,0.7344390000000001,0.7170479999999999,0.745967,0.758467,0.793301,0.715026,0.685658,0.713561,0.711327,0.723743,0.703708,0.783984,0.709608,0.699962,0.747793,0.7533770000000001,0.742079,0.7033550000000001,0.6921069999999999,0.7511899999999999,0.739271,0.7497189999999999,0.712481,0.759487,0.719337,0.7303609999999999,0.713969,0.7092649999999999,0.728125,0.7225729999999999,0.7204470000000001,0.764563,0.713011,0.742725,0.703476,0.752361,0.7008989999999999,0.7207020000000001,0.719082,0.684673,0.731375,0.739875,0.6924399999999999,0.772571,0.6875680000000001,0.714307,0.714417,0.7239939999999999,0.69652,0.759587,0.726881,0.694742,0.7046899999999999,0.719528,0.674992,0.691682,0.776209,0.6631130000000001,0.765123,0.684801,0.7146060000000001,0.71205,0.727641,0.762104,0.756827,0.712521,0.680996,0.734383,0.706118,0.733251,0.701979,0.698471,0.690693,0.733919,0.697801,0.69457,0.704566,1000
9000,0.783617,0.746634,0.727193,0.663988,0.726413,0.658994,0.769591,0.749807,0.739996,0.7684479999999999,0.681603,0.744368,0.740853,0.750024,0.722403,0.7442479999999999,0.770948,0.691125,0.720354,0.729038,0.7185229999999999,0.707938,0.748617,0.718972,0.661713,0.731949,0.678725,0.722446,0.770915,0.6846180000000001,0.770233,0.705541,0.750156,0.745119,0.765892,0.703242,0.727175,0.751467,0.6925,0.73438,0.718121,0.702802,0.708388,0.696508,0.702997,0.715467,0.6979989999999999,0.694181,0.748053,0.7416659999999999,0.783379,0.712547,0.714062,0.675477,0.724053,0.701078,0.6857439999999999,0.767487,0.7395930000000001,0.716829,0.748633,0.6982550000000001,0.733008,0.731219,0.737575,0.720112,0.718117,0.7332930000000001,0.739693,0.789196,0.7493569999999999,0.722053,0.7438600000000001,0.70581,0.741475,0.718396,0.680999,0.675095,0.7409979999999999,0.727858,0.699986,0.7574770000000001,0.7007359999999999,0.741772,0.712561,0.7136600000000001,0.727229,0.739892,0.668215,0.742477,0.698533,0.7124149999999999,0.698665,0.74354,0.708596,0.716421,0.719963,0.750016,0.739295,0.7068300000000001,1000
10500,0.6969420000000001,0.724228,0.6905180000000001,0.735316,0.752124,0.694098,0.7151689999999999,0.752158,0.661606,0.687211,0.6927180000000001,0.718803,0.738296,0.667315,0.721398,0.748487,0.709426,0.751683,0.735059,0.775293,0.729358,0.742369,0.712886,0.7405520000000001,0.741609,0.709908,0.7353109999999999,0.718392,0.703141,0.750881,0.722542,0.6947800000000001,0.7389859999999999,0.735265,0.674423,0.730304,0.732337,0.694826,0.737929,0.780622,0.771462,0.694662,0.738218,0.793579,0.724324,0.68904,0.759054,0.680174,0.779565,0.6919,0.7004130000000001,0.696138,0.663145,0.710747,0.7046640000000001,0.670262,0.692435,0.6872010000000001,0.678253,0.746571,0.717023,0.708994,0.714246,0.7323109999999999,0.708519,0.739111,0.683801,0.716683,0.716345,0.7314470000000001,0.7631720000000001,0.7418600000000001,0.788629,0.7216199999999999,0.7686149999999999,0.7085319999999999,0.76479,0.782148,0.7665029999999999,0.692715,0.747972,0.7064199999999999,0.742433,0.6901189999999999,0.7436550000000001,0.688607,0.715512,0.750269,0.690271,0.770081,0.778643,0.7334189999999999,0.713305,0.715793,0.754999,0.7469140000000001,0.7188359999999999,0.737837,0.709483,0.719693,1000
12000,0.745588,0.739019,0.690287,0.727467,0.6680590000000001,0.7735350000000001,0.711479,0.778788,0.720966,0.745205,0.7276,0.717802,0.6979069999999999,0.724075,0.7393149999999999,0.710517,0.698893,0.716621,0.699634,0.680415,0.751783,0.772388,0.718815,0.681228,0.762309,0.6894979999999999,0.69724,0.767456,0.689353,0.757445,0.7305159999999999,0.718287,0.677319,0.681764,0.739518,0.755283,0.710383,0.7143550000000001,0.746524,0.734014,0.7141069999999999,0.754329,0.751369,0.6728970000000001,0.7115819999999999,0.7277520000000001,0.738202,0.697048,0.6738029999999999,0.695541,0.73639,0.712581,0.694138,0.757149,0.740373,0.725545,0.697468,0.748166,0.725881,0.721147,0.734586,0.695631,0.7093689999999999,0.6974899999999999,0.70002,0.794037,0.732535,0.71838,0.739064,0.7113520000000001,0.709295,0.723591,0.6967869999999999,0.696858,0.72188,0.739121,0.754424,0.761104,0.72558,0.699741,0.766967,0.706428,0.788782,0.740375,0.679869,0.761107,0.745698,0.710174,0.6937300000000001,0.694909,0.700283,0.684613,0.698314,0.727477,0.734065,0.691405,0.710865,0.749641,0.734374,0.7082229999999999,1000
13500,0.748784,0.7403420000000001,0.747631,0.761827,0.7492840000000001,0.692415,0.733684,0.749826,0.743192,0.734532,0.756102,0.740132,0.723102,0.783099,0.7213109999999999,0.67156,0.7278,0.7647079999999999,0.682916,0.738683,0.723884,0.739788,0.728506,0.742015,0.6874020000000001,0.782575,0.706398,0.719245,0.689551,0.7202069999999999,0.676175,0.719245,0.761355,0.731587,0.769778,0.724428,0.705385,0.761045,0.725446,0.709005,0.7236,0.698865,0.71742,0.720025,0.709417,0.722755,0.696008,0.727023,0.7006899999999999,0.7583850000000001,0.703224,0.6995020000000001,0.737593,0.7366550000000001,0.73356,0.723086,0.7325729999999999,0.762117,0.734801,0.74785,0.687711,0.702283,0.725899,0.6829890000000001,0.7654810000000001,0.645948,0.738428,0.683213,0.7115819999999999,0.680281,0.70735,0.701151,0.7202189999999999,0.664098,0.718684,0.769856,0.776529,0.710421,0.764803,0.676242,0.72131,0.6798930000000001,0.682347,0.706645,0.742557,0.765195,0.667908,0.696249,0.7039920000000001,0.72715,0.718604,0.6794479999999999,0.704186,0.6940189999999999,0.7352609999999999,0.678113,0.700324,0.735621,0.692646,0.690045,1000
