Generation,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100,pop
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,500
900,588,600,590,598,604,601,596,626,597,616,623,625,606,605,605,591,636,592,599,596,589,614,614,614,603,611,615,607,573,624,594,620,592,645,622,634,603,619,618,591,598,616,622,610,622,610,622,623,606,629,602,606,611,619,607,611,615,618,619,589,626,582,606,583,615,605,580,591,592,548,585,601,595,586,612,607,593,598,574,583,598,599,579,580,577,611,588,619,608,596,628,611,601,635,591,601,591,578,584,586,500
1800,622,629,597,642,604,610,588,602,593,591,573,608,615,597,613,617,605,605,598,593,613,623,622,609,586,611,583,607,591,606,602,630,635,595,587,579,590,611,623,583,620,594,586,603,609,596,602,614,607,618,596,608,590,615,588,612,585,611,590,610,593,578,588,577,579,616,637,596,621,586,634,616,611,595,593,619,604,610,608,625,615,609,592,608,604,632,598,599,604,612,602,616,623,616,592,613,619,593,613,598,500
2700,622,601,607,606,589,581,590,574,610,586,609,589,614,613,594,606,592,598,577,575,608,598,597,603,576,567,592,616,609,599,597,618,602,618,590,579,592,607,576,604,609,613,606,611,605,596,576,622,585,612,596,579,603,571,617,606,619,594,595,607,600,596,604,585,591,597,577,596,606,559,607,593,597,616,595,596,586,590,622,609,628,617,613,591,612,610,600,600,609,582,594,589,596,578,573,605,591,568,590,624,500
3600,576,596,596,558,602,587,596,578,577,605,606,606,562,585,550,600,602,586,619,607,607,601,609,575,585,605,569,573,599,571,611,616,583,616,593,621,614,574,625,616,589,583,605,568,580,559,602,584,606,602,595,621,596,604,618,580,593,588,569,593,577,625,589,612,609,592,568,599,569,584,586,607,596,617,609,585,583,614,612,614,585,627,580,604,604,609,576,595,626,594,600,591,581,594,604,601,588,600,580,602,500
4500,609,594,571,616,582,582,609,609,596,584,611,601,592,592,609,592,595,594,599,578,598,595,612,580,599,607,621,587,597,573,585,597,624,586,579,581,588,581,545,595,616,608,601,607,592,610,594,600,601,628,595,587,578,627,585,614,597,599,593,600,600,600,601,600,593,579,593,628,576,590,571,583,622,618,618,588,566,611,602,594,602,576,607,596,600,610,623,600,594,603,573,601,599,580,592,598,604,584,590,604,500
5400,587,593,606,610,582,619,615,575,610,604,610,595,605,602,587,595,576,588,598,588,580,599,598,578,597,618,582,621,589,603,610,582,623,599,600,604,629,588,601,618,623,596,599,576,576,591,589,603,569,615,607,565,607,594,575,606,599,590,603,570,582,593,594,592,612,574,592,630,583,606,577,608,610,594,583,608,613,600,589,577,592,591,617,574,581,602,619,587,620,569,613,591,592,592,595,609,609,560,580,599,500
6300,584,599,584,606,605,614,601,597,590,578,593,623,621,585,599,599,569,594,609,611,544,609,589,578,588,617,566,580,583,613,602,609,617,597,620,579,560,576,602,626,585,572,578,604,599,595,589,612,597,592,567,615,592,594,608,608,577,614,607,620,594,615,616,605,600,589,586,594,596,573,596,587,592,612,597,593,573,588,572,599,580,584,566,590,598,585,594,576,604,616,584,575,601,601,597,580,572,593,621,611,500
7200,589,610,607,598,605,601,605,584,617,583,586,579,599,600,622,606,594,597,585,612,593,617,585,577,599,611,623,605,610,600,608,602,607,601,612,586,605,642,587,551,589,609,600,613,591,644,593,593,622,611,596,591,595,623,598,591,608,575,596,597,618,597,601,581,603,593,577,619,606,594,589,592,585,594,589,617,602,591,621,620,581,598,574,624,628,595,586,620,612,572,593,577,590,594,596,600,593,607,576,609,500
8100,641,622,597,589,617,587,613,599,624,599,631,604,610,585,602,589,597,604,599,598,607,581,585,590,606,586,596,606,583,594,591,610,581,571,577,598,607,609,608,611,596,574,612,617,582,587,602,595,581,593,572,607,591,588,601,595,583,592,571,564,619,581,594,596,615,581,589,605,569,596,600,575,590,584,598,567,580,599,615,587,603,635,599,624,606,588,605,590,590,594,600,587,598,627,596,601,593,588,588,597,500
